Sample	cancer_type	type	HLA-A	PDCD6IP	P60033	HSP90AA1	PPIA	UBAP1	UHRF2	VPS37A	WDR3	YTHDC1
MS162879QEp_Ayuko_Lyden_WE002_tumor	colorectum	not plasma	185529184.7	866892747.3	1175509148	2498729766	1869709953	NA	NA	NA	NA	NA
MS162879QEp_Ayuko_Lyden_WE004_tumor	colorectum	not plasma	156843809.8	645691749.7	165014080.6	7474508501	6037661346	NA	NA	NA	NA	NA
MS162879QEp_Ayuko_Lyden_WE005_tumor	colorectum	not plasma	51169554.33	791907438	367602270.9	5790575984	4111210010	NA	NA	NA	7039286	NA
MS14722QE_Bruno_Lyden_HLIEC	colorectum	cell culture	34421091.83	103180666.3	155014157.5	799941104.8	627913660.3	NA	NA	NA	NA	NA
MS14722QE_Bruno_Lyden_HT29	colorectum	cell culture	73347243.88	368183764.5	785789859.7	1704350716	2298791004	NA	NA	NA	NA	NA
MS14722QE_Bruno_Lyden_SW620	colorectum	cell culture	50765032.38	1415455523	1418796848	6130495970	6042123514	NA	NA	NA	NA	NA
MS151767QE_Bruno_Lyden_HCT116_liver_tropic_1	colorectum	cell culture	73146746.13	438379376.8	890603253.5	1713489869	845156018.8	NA	NA	NA	NA	NA
MS162639QEp_Ayuko_Lyden_parental_a	colorectum	cell culture	NA	2194349742	9474486243	2905096292	1452463227	NA	NA	NA	NA	NA
MS151558QE_Bruno_Lyden_BC1	breast	not plasma	NA	48293100.75	NA	353864247.9	344977990.2	NA	14225442.63	NA	3413399.75	NA
MS151558QE_Bruno_Lyden_BC2	breast	not plasma	610938544.4	147285393.1	1001680466	1459803782	1218933629	NA	NA	NA	NA	NA
MS162175QEp_Bruno_Lyden_CF36	breast	not plasma	43227508.25	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS162175QEp_Bruno_Lyden_CF4	breast	not plasma	8289314.969	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS162642QEp_Ayuko_Lyden_5666	breast	not plasma	37977758.65	270743222.5	678973687.4	1053228410	1378642313	NA	NA	NA	15915624.25	NA
MS162642QEp_Ayuko_Lyden_5667	breast	not plasma	28209278.5	262695797.4	1060318093	2725271269	1511214910	NA	NA	NA	NA	NA
MS162642QEp_Ayuko_Lyden_6061	breast	not plasma	92281125.25	349245795.7	835907945.2	3077352472	3119013600	NA	NA	NA	10482836.63	NA
MS183912QEp_Ayuko_Lyden_BR19	breast	not plasma	888332607.9	634294249.5	2552556456	4083250022	3914751038	NA	NA	NA	NA	NA
MS13375_Bruno_Lyden_MCF7_bone_A	breast	cell culture	NA	36940855.77	8823211.013	36218455.04	17798620.68	NA	NA	NA	NA	NA
MS13451QE_Bruno_Lyden_831brain_A	breast	cell culture	17962274.06	15443884.49	NA	9275535.083	44478615.4	NA	NA	NA	NA	NA
MS13638QE_Bruno_Lyden_SKBr-3	breast	cell culture	NA	362257403.3	1567621143	1194115016	2704937314	NA	NA	16425634.13	36270329.6	NA
MS13666QE_Bruno_Lyden_4173	breast	cell culture	193447976.1	850704112.6	870790114	2107215247	1610738889	NA	NA	NA	NA	NA
MS13666QE_Bruno_Lyden_4180	breast	cell culture	141669951.6	1526122613	163870147	1131699245	2030682063	NA	NA	NA	NA	NA
MS141093QE_Bruno_Lyden_T4	breast	cell culture	63645546.75	218061893.1	247494580	113191333.6	276662233	NA	NA	NA	NA	NA
MS151641QE_Bruno_Lyden_MDA-231-BR_YONEDA	breast	cell culture	NA	404644520.3	699003824	2996271138	2123699037	NA	NA	NA	NA	NA
MS151670QE_Bruno_Lyden_MDA_WT	breast	cell culture	NA	363191729.2	1926317364	2753615202	2933904057	NA	NA	NA	NA	NA
MS151767QE_Bruno_Lyden_4175_lung_tropic_1	breast	cell culture	96182151.94	214523355.6	294191592.3	1116326610	666735568	NA	NA	NA	NA	NA
MS151767QE_Bruno_Lyden_MDA_parental_1	breast	cell culture	NA	82340271.92	138375806.9	1198528706	666459980.3	NA	NA	NA	NA	NA
MS151767QE_Bruno_Lyden_Yoneda_brain_tropic_1	breast	cell culture	NA	48055167.54	78359289.63	1274264205	646173639.9	NA	NA	NA	NA	NA
MS151831QE_Bruno_Lyden_MDA-MB-468_repeat	breast	cell culture	344452533.7	682603750.6	2849482072	6754166241	8748834820	NA	NA	NA	NA	NA
MS152035QE_Bruno_Lyden_1833_bone_tropic_1	breast	cell culture	61090081.67	580099688.8	3460265629	3287398264	3051984361	NA	NA	NA	NA	NA
MS162321QEp_Bruno_Lyden_T4-AIIB2	breast	cell culture	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS162321QEp_Bruno_Lyden_T4-PD	breast	cell culture	NA	58086180.92	251034494.9	25622286.25	NA	NA	NA	NA	NA	NA
MS172982QEp_Ayuko_Lyden_MCF_10CA_1D	breast	cell culture	44019224.27	158211766.6	31381127.13	1235513056	121374417.7	NA	NA	NA	NA	NA
MS162321QEp_Bruno_Lyden_T4-3D	breast	cell culture	NA	NA	NA	544743724.3	48805153.13	NA	NA	NA	NA	NA
