ENTREZ GENE ID	GENE SYMBOL	UNIPROT		number of EXPERIMENT	Colorectal cancer cells	Ovarian cancer cells	Breast cancer cells	Kidney cancer cells	Glioblastoma cells	Lung cancer cells	Stomach cancer cells	Hepatoma cells	Pancreatic cancer cells	Pancreatic adenocarcinoma cells
81	ACTN4	O43707	V	49	22	7	2	4	7	7	0	0	0	0
307	ANXA4	P09525	V	49	23	11	3	5	3	4	0	0	0	0
3107	HLA-C	P10321	V	49	22	10	5	4	0	8	0	0	0	0
3849	KRT2	P35908	V	48	21	11	4	3	8	1	0	0	0	0
4627	MYH9	P35579	V	48	21	9	3	4	9	2	0	0	0	0
2058	EPRS	P07814	V	48	20	9	3	1	7	8	0	0	0	0
8359	HIST1H4A	B2R4R0	V	47	17	8	3	2	11	6	0	0	0	0
10576	CCT2	P78371	V	47	24	8	4	1	10	0	0	0	0	0
5908	RAP1B	P61224	V	47	24	8	5	3	5	2	0	0	0	0
7532	YWHAG	P61981	V	47	20	8	4	3	9	2	0	0	0	1
10211	FLOT1	O75955	V	47	24	9	5	2	4	3	0	0	0	0
8826	IQGAP1	P46940	V	47	17	11	4	5	8	2	0	0	0	0
4478	MSN	P26038	V	47	17	9	2	4	10	5	0	0	0	0
7520	XRCC5	P13010	V	47	16	8	3	5	7	7	0	0	0	1
54472	TOLLIP	Q9H0E2	V	47	20	9	4	1	3	10	0	0	0	0
3123	HLA-DRB1	P01911	V	47	9	10	7	11	0	10	0	0	0	0
5339	PLEC	Q15149	V	47	18	8	2	3	9	3	0	0	0	4
1213	CLTC	Q00610	V	46	21	8	5	0	8	4	0	0	0	0
3183	HNRNPC	P07910	V	46	17	8	3	1	13	4	0	0	0	0
203068	TUBB	P07437	V	45	18	6	4	6	8	3	0	0	0	0
308	ANXA5	P08758	V	45	21	11	5	1	5	2	0	0	0	0
1072	CFL1	P23528	V	45	23	8	2	1	5	6	0	0	0	0
2316	FLNA	P21333	V	45	18	10	2	5	8	2	0	0	0	0
7094	TLN1	Q9Y490	V	45	17	10	4	3	9	2	0	0	0	0
7529	YWHAB	P31946	V	45	20	9	2	4	8	2	0	0	0	0
7317	UBA1	P22314	V	45	21	11	3	0	7	2	0	0	0	1
7846	TUBA1A	Q71U36	V	45	20	8	4	2	9	2	0	0	0	0
5688	PSMA7	O14818	V	45	19	10	4	1	9	2	0	0	0	0
6189	RPS3A	P61247	V	45	18	8	3	3	3	9	0	0	0	1
6136	RPL12	P30050	V	45	20	8	3	1	9	4	0	0	0	0
23352	UBR4	Q5T4S7	V	45	19	7	4	5	1	9	0	0	0	0
191	AHCY	P23526	V	44	21	7	2	3	10	1	0	0	0	0
7415	VCP	P55072	V	44	16	7	5	4	8	4	0	0	0	0
5738	PTGFRN	Q9P2B2	V	44	21	8	2	1	7	5	0	0	0	0
7430	EZR	P15311	V	44	21	12	5	2	2	2	0	0	0	0
2782	GNB1	P62873	V	44	20	8	2	4	4	6	0	0	0	0
309	ANXA6	P08133	V	44	13	10	4	4	7	6	0	0	0	0
2771	GNAI2	P04899	V	44	17	10	3	4	7	3	0	0	0	0
4240	MFGE8	Q08431	V	44	17	9	4	3	7	4	0	0	0	0
5048	PAFAH1B1	P43034	V	44	20	7	2	5	0	10	0	0	0	0
79026	AHNAK	Q09666	V	44	14	10	5	4	1	10	0	0	0	0
1778	DYNC1H1	Q14204	V	44	15	11	3	2	10	3	0	0	0	0
5702	PSMC3	P17980	V	44	16	10	3	5	2	8	0	0	0	0
5689	PSMB1	P20618	V	44	15	10	4	6	7	2	0	0	0	0
51386	EIF3L	Q9Y262	V	44	16	5	3	6	7	7	0	0	0	0
57826	RAP2C	Q9Y3L5	V	44	21	11	4	4	1	3	0	0	0	0
4179	CD46	P15529	V	44	22	10	3	5	0	4	0	0	0	0
1915	EEF1A1	P68104	V	43	20	10	2	2	8	1	0	0	0	0
5879	RAC1	P63000	V	43	17	10	5	3	4	4	0	0	0	0
4869	NPM1	P06748	V	43	16	11	2	2	8	4	0	0	0	0
2317	FLNB	O75369	V	43	17	10	3	3	7	3	0	0	0	0
148362	BROX	Q5VW32	V	43	21	12	3	2	1	4	0	0	0	0
2547	XRCC6	P12956	V	43	18	11	2	2	2	8	0	0	0	0
51552	RAB14	P61106	V	43	20	10	3	4	1	5	0	0	0	0
5687	PSMA6	P60900	V	43	19	7	4	6	7	0	0	0	0	0
345651	ACTBL2	Q562R1	V	43	19	10	3	3	1	7	0	0	0	0
3074	HEXB	P07686	V	43	11	12	2	5	6	7	0	0	0	0
3339	HSPG2	P98160	V	43	20	11	2	3	1	6	0	0	0	0
10971	YWHAQ	P27348	V	42	23	7	3	0	9	0	0	0	0	0
476	ATP1A1	P05023	V	42	19	7	5	4	5	2	0	0	0	0
1937	EEF1G	P26641	V	42	16	9	1	4	9	3	0	0	0	0
3837	KPNB1	Q14974	V	42	20	9	1	0	6	6	0	0	0	0
7037	TFRC	P02786	V	42	23	11	3	1	1	3	0	0	0	0
718	C3	P01024	V	42	9	7	6	4	7	9	0	0	0	0
47	ACLY	P53396	V	42	19	8	3	5	6	1	0	0	0	0
5898	RALA	P11233	V	42	20	12	2	2	3	3	0	0	0	0
7879	RAB7A	P51149	V	42	24	8	4	1	5	0	0	0	0	0
2319	FLOT2	Q14254	V	42	21	8	3	4	1	5	0	0	0	0
6194	RPS6	P62753	V	42	18	11	5	3	4	1	0	0	0	0
10963	STIP1	P31948	V	42	18	9	3	3	0	9	0	0	0	0
3732	CD82	P27701	V	42	20	10	4	2	3	3	0	0	0	0
5685	PSMA4	P25789	V	42	19	10	2	1	6	4	0	0	0	0
6897	TARS	P26639	V	42	16	11	3	3	6	3	0	0	0	0
8773	SNAP23	O00161	V	42	21	9	4	3	1	4	0	0	0	0
6138	RPL15	P61313	V	42	19	11	4	4	0	3	0	0	0	1
9861	PSMD6	Q15008	V	42	18	9	4	1	7	3	0	0	0	0
6709	SPTAN1	Q13813	V	42	14	9	3	5	2	9	0	0	0	0
6207	RPS13	P62277	V	42	20	9	3	4	1	5	0	0	0	0
27243	CHMP2A	O43633	V	42	22	7	4	2	2	5	0	0	0	0
7203	CCT3	P49368	V	41	18	6	5	3	7	1	0	0	0	1
998	CDC42	P60953	V	41	22	8	4	3	1	3	0	0	0	0
5216	PFN1	P07737	V	41	23	5	4	2	4	3	0	0	0	0
10383	TUBB4B	P68371	V	41	17	9	4	3	6	2	0	0	0	0
4072	EPCAM	P16422	V	41	23	7	5	5	0	1	0	0	0	0
2783	GNB2	P62879	V	41	20	8	5	1	2	5	0	0	0	0
10672	GNA13	Q14344	V	41	22	9	4	3	1	2	0	0	0	0
8407	TAGLN2	P37802	V	41	19	8	5	3	4	2	0	0	0	0
2773	GNAI3	P08754	V	41	18	8	4	4	3	4	0	0	0	0
3675	ITGA3	P26006	V	41	17	8	6	4	4	2	0	0	0	0
6222	RPS18	P62269	V	41	18	8	4	2	7	2	0	0	0	0
2767	GNA11	P29992	V	41	19	9	4	4	1	4	0	0	0	0
375790	AGRN	O00468	V	41	16	7	2	2	10	4	0	0	0	0
2288	FKBP4	Q02790	V	41	16	10	4	4	0	7	0	0	0	0
5034	P4HB	P07237	V	41	15	9	3	3	7	4	0	0	0	0
7525	YES1	P07947	V	41	20	11	4	2	1	3	0	0	0	0
51571	FAM49B	Q9NUQ9	V	41	19	9	3	4	0	6	0	0	0	0
7360	UGP2	Q16851	V	41	17	7	4	5	6	2	0	0	0	0
7171	TPM4	P67936	V	41	18	10	2	4	1	6	0	0	0	0
51534	VTA1	Q9NP79	V	41	13	11	2	5	0	10	0	0	0	0
226	ALDOA	P04075	V	40	16	10	4	1	9	0	0	0	0	0
2	A2M	P01023	V	40	14	9	4	3	10	0	0	0	0	0
3858	KRT10	P13645	V	40	19	6	0	0	14	0	0	0	0	1
7057	THBS1	P07996	V	40	11	9	5	0	8	7	0	0	0	0
1192	CLIC1	O00299	V	40	18	9	5	3	2	3	0	0	0	0
7414	VCL	P18206	V	40	16	10	3	2	6	3	0	0	0	0
6510	SLC1A5	Q15758	V	40	18	9	4	1	3	5	0	0	0	0
375	ARF1	P84077	V	40	17	8	2	4	1	8	0	0	0	0
3728	JUP	P14923	V	40	21	7	2	3	3	4	0	0	0	0
908	CCT6A	P40227	V	40	20	8	1	4	2	5	0	0	0	0
829	CAPZA1	P52907	V	40	14	12	5	3	0	6	0	0	0	0
6129	RPL7	P18124	V	40	18	10	4	3	1	4	0	0	0	0
3303	HSPA1A	P0DMV8	V	40	23	9	2	2	2	2	0	0	0	0
3309	HSPA5	P11021	V	40	19	6	2	1	9	3	0	0	0	0
5906	RAP1A	P62834	V	40	21	7	4	3	2	3	0	0	0	0
10121	ACTR1A	P61163	V	40	20	9	5	1	1	4	0	0	0	0
10487	CAP1	Q01518	V	40	18	7	1	4	0	10	0	0	0	0
6132	RPL8	P62917	V	40	17	10	5	0	0	7	0	0	0	1
55737	VPS35	Q96QK1	V	40	17	11	3	3	6	0	0	0	0	0
5834	PYGB	P11216	V	40	16	7	4	3	7	3	0	0	0	0
4893	NRAS	P01111	V	40	21	8	4	2	0	5	0	0	0	0
2026	ENO2	P09104	V	40	19	10	5	1	0	5	0	0	0	0
3615	IMPDH2	P12268	V	40	19	7	3	4	0	7	0	0	0	0
3915	LAMC1	P11047	V	40	9	8	3	3	9	8	0	0	0	0
1315	COPB1	P53618	V	40	19	11	4	2	1	3	0	0	0	0
2923	PDIA3	P30101	V	40	17	8	4	3	4	4	0	0	0	0
553115	PEF1	Q9UBV8	V	40	14	9	2	5	0	10	0	0	0	0
5709	PSMD3	O43242	V	40	19	6	3	2	9	1	0	0	0	0
26509	MYOF	Q9NZM1	V	40	18	7	5	4	1	5	0	0	0	0
29968	PSAT1	Q9Y617	V	40	16	9	2	1	0	12	0	0	0	0
2037	EPB41L2	O43491	V	40	17	12	3	5	1	2	0	0	0	0
2805	GOT1	P17174	V	40	16	11	3	4	0	6	0	0	0	0
5704	PSMC4	P43686	V	40	17	10	4	2	2	5	0	0	0	0
5870	RAB6A	P20340	V	40	21	8	2	3	1	5	0	0	0	0
1977	EIF4E	P06730	V	40	10	11	3	4	0	12	0	0	0	0
5052	PRDX1	Q06830	V	39	17	9	6	3	3	0	0	0	0	1
1499	CTNNB1	P35222	V	39	17	11	2	5	2	2	0	0	0	0
7277	TUBA4A	P68366	V	39	25	10	2	1	0	1	0	0	0	0
2665	GDI2	P50395	V	39	19	9	4	1	2	4	0	0	0	0
1500	CTNND1	O60716	V	39	22	9	1	1	2	4	0	0	0	0
9230	RAB11B	Q15907	V	39	20	10	4	2	1	2	0	0	0	0
5682	PSMA1	P25786	V	39	15	8	3	2	7	4	0	0	0	0
5684	PSMA3	P25788	V	39	18	6	3	6	6	0	0	0	0	0
6130	RPL7A	P62424	V	39	20	10	4	0	2	3	0	0	0	0
6137	RPL13	P26373	V	39	18	10	3	4	1	3	0	0	0	0
6714	SRC	P12931	V	39	17	11	5	4	0	2	0	0	0	0
1660	DHX9	Q08211	V	39	18	10	4	4	2	1	0	0	0	0
5719	PSMD13	Q9UNM6	V	39	14	12	4	3	6	0	0	0	0	0
5701	PSMC2	P35998	V	39	16	6	4	1	9	3	0	0	0	0
9798	IST1	P53990	V	39	21	8	4	3	0	3	0	0	0	0
6122	RPL3	P39023	V	39	20	7	5	1	1	5	0	0	0	0
160	AP2A1	O95782	V	39	21	8	5	3	2	0	0	0	0	0
6205	RPS11	P62280	V	39	20	11	1	4	3	0	0	0	0	0
9520	NPEPPS	P55786	V	39	15	8	4	4	6	2	0	0	0	0
2539	G6PD	P11413	V	39	18	7	5	4	0	5	0	0	0	0
5358	PLS3	P13797	V	39	18	11	3	4	0	3	0	0	0	0
949	SCARB1	Q8WTV0	V	39	18	10	5	4	0	2	0	0	0	0
4241	MFI2	P08582	V	39	13	11	3	3	0	9	0	0	0	0
5515	PPP2CA	P67775	V	39	18	9	4	3	0	5	0	0	0	0
351	APP	P05067	V	39	12	7	4	4	7	4	0	0	0	1
4000	LMNA	P02545	V	39	12	8	3	5	6	5	0	0	0	0
6301	SARS	P49591	V	39	15	9	5	3	0	7	0	0	0	0
7174	TPP2	P29144	V	39	19	10	5	2	0	3	0	0	0	0
10480	EIF3M	Q7L2H7	V	39	17	10	3	2	0	7	0	0	0	0
10549	PRDX4	Q13162	V	39	19	8	3	4	0	5	0	0	0	0
5691	PSMB3	P49720	V	39	19	7	3	1	6	3	0	0	0	0
1173	AP2M1	Q96CW1	V	39	16	11	4	3	2	3	0	0	0	0
6218	RPS17	P08708	V	39	16	11	4	3	1	4	0	0	0	0
5270	SERPINE2	P07093	V	39	12	6	3	1	8	8	0	0	0	1
8301	PICALM	Q13492	V	39	16	9	3	1	1	9	0	0	0	0
682	BSG	P35613	V	38	17	8	4	3	4	2	0	0	0	0
1973	EIF4A1	P60842	V	38	20	8	4	1	5	0	0	0	0	0
3655	ITGA6	P23229	V	38	24	7	4	0	2	1	0	0	0	0
2335	FN1	P02751	V	38	5	10	6	2	8	7	0	0	0	0
481	ATP1B1	P05026	V	38	17	11	2	2	1	5	0	0	0	0
71	ACTG1	P63261	V	38	13	7	6	4	2	6	0	0	0	0
2934	GSN	P06396	V	38	15	7	4	1	7	4	0	0	0	0
102	ADAM10	O14672	V	38	18	12	2	1	1	4	0	0	0	0
7533	YWHAH	Q04917	V	38	17	9	2	4	1	5	0	0	0	0
55832	CAND1	Q86VP6	V	38	17	9	3	2	6	1	0	0	0	0
57609	DIP2B	Q9P265	V	38	19	8	2	5	2	2	0	0	0	0
93185	IGSF8	Q969P0	V	38	22	6	5	0	5	0	0	0	0	0
5708	PSMD2	Q13200	V	38	13	7	4	2	8	4	0	0	0	0
10381	TUBB3	Q13509	V	38	18	10	4	2	1	3	0	0	0	0
396	ARHGDIA	P52565	V	38	17	12	1	4	2	2	0	0	0	0
5686	PSMA5	P28066	V	38	17	6	3	0	8	4	0	0	0	0
79720	VPS37B	Q9H9H4	V	38	23	6	5	1	2	1	0	0	0	0
5912	RAP2B	P61225	V	38	21	6	3	5	1	2	0	0	0	0
8607	RUVBL1	Q9Y265	V	38	15	9	4	3	6	1	0	0	0	0
5862	RAB2A	P61019	V	38	18	8	4	3	1	4	0	0	0	0
4691	NCL	P19338	V	38	14	9	2	2	9	2	0	0	0	0
1969	EPHA2	P29317	V	38	16	7	4	5	3	3	0	0	0	0
3329	HSPD1	P10809	V	38	17	7	4	0	6	4	0	0	0	0
4735	SEPTIN2	Q15019	V	38	13	7	2	5	7	4	0	0	0	0
23392	KIAA0368	Q5VYK3	V	38	14	11	4	3	0	6	0	0	0	0
5591	PRKDC	P78527	V	38	13	9	1	5	2	8	0	0	0	0
1615	DARS	P14868	V	38	17	9	2	1	0	9	0	0	0	0
7431	VIM	P08670	V	38	12	9	4	3	10	0	0	0	0	0
5501	PPP1CC	P36873	V	38	20	10	3	1	0	4	0	0	0	0
9052	GPRC5A	Q8NFJ5	V	38	15	10	5	4	0	4	0	0	0	0
1452	CSNK1A1	P48729	V	38	15	10	3	2	0	8	0	0	0	0
5705	PSMC5	P62195	V	38	18	8	3	1	1	7	0	0	0	0
51520	LARS	Q9P2J5	V	38	15	10	2	2	1	8	0	0	0	0
7874	USP7	Q93009	V	38	13	9	4	4	0	8	0	0	0	0
790	CAD	P27708	V	38	19	9	3	0	6	1	0	0	0	0
3035	HARS	P12081	V	38	8	11	3	2	6	8	0	0	0	0
9414	TJP2	Q9UDY2	V	38	18	9	3	1	0	7	0	0	0	0
5901	RAN	P62826	V	37	21	8	3	2	1	1	0	0	0	1
10890	RAB10	P61026	V	37	19	7	5	0	2	4	0	0	0	0
7001	PRDX2	P32119	V	37	20	8	6	2	1	0	0	0	0	0
5878	RAB5C	P51148	V	37	22	7	2	2	3	1	0	0	0	0
6513	SLC2A1	P11166	V	37	21	6	3	3	2	1	0	0	0	1
3308	HSPA4	P34932	V	37	15	8	4	1	6	0	0	0	0	3
9555	H2AFY	O75367	V	37	16	8	4	4	4	1	0	0	0	0
6217	RPS16	P62249	V	37	21	6	2	3	2	3	0	0	0	0
6509	SLC1A4	P43007	V	37	19	7	4	1	0	6	0	0	0	0
23191	CYFIP1	Q7L576	V	37	21	8	4	2	1	1	0	0	0	0
6156	RPL30	P62888	V	37	15	7	4	5	2	4	0	0	0	0
5694	PSMB6	P28072	V	37	21	8	5	2	0	1	0	0	0	0
4218	RAB8A	P61006	V	37	23	9	4	1	0	0	0	0	0	0
1191	CLU	P10909	V	37	10	6	4	4	12	1	0	0	0	0
3799	KIF5B	P33176	V	37	15	7	4	3	0	8	0	0	0	0
3912	LAMB1	P07942	V	37	11	7	3	4	10	2	0	0	0	0
493	ATP2B4	P23634	V	37	14	8	3	0	3	9	0	0	0	0
6144	RPL21	P46778	V	37	19	7	2	4	2	3	0	0	0	0
6237	RRAS	P10301	V	37	22	7	3	4	0	1	0	0	0	0
1739	DLG1	Q12959	V	37	20	8	2	2	0	5	0	0	0	0
5911	RAP2A	P10114	V	37	20	8	2	4	0	3	0	0	0	0
10434	LYPLA1	O75608	V	37	16	10	1	4	0	6	0	0	0	0
8662	EIF3B	P55884	V	37	17	9	3	1	1	6	0	0	0	0
142	PARP1	P09874	V	37	16	9	3	1	2	6	0	0	0	0
8836	GGH	Q92820	V	37	12	10	3	3	6	3	0	0	0	0
10525	HYOU1	Q9Y4L1	V	37	17	10	2	4	1	3	0	0	0	0
57446	NDRG3	Q9UGV2	V	37	11	10	3	2	0	11	0	0	0	0
387	RHOA	P61586	V	36	16	8	1	5	4	2	0	0	0	0
3301	DNAJA1	P31689	V	36	19	9	3	2	1	2	0	0	0	0
10575	CCT4	P50991	V	36	18	7	3	0	8	0	0	0	0	0
2778	GNAS	P63092	V	36	20	9	4	0	2	1	0	0	0	0
30844	EHD4	Q9H223	V	36	20	7	2	3	2	2	0	0	0	0
5861	RAB1A	P62820	V	36	19	8	5	0	2	2	0	0	0	0
81876	RAB1B	Q9H0U4	V	36	20	10	2	2	0	2	0	0	0	0
3417	IDH1	O75874	V	36	15	9	1	5	4	1	0	0	0	1
1956	EGFR	P00533	V	36	13	9	2	2	3	2	0	0	0	5
2770	GNAI1	P63096	V	36	12	9	5	4	1	5	0	0	0	0
23193	GANAB	Q14697	V	36	15	9	2	1	9	0	0	0	0	0
27044	SND1	Q7KZF4	V	36	14	10	3	4	1	4	0	0	0	0
8775	NAPA	P54920	V	36	18	7	3	5	0	3	0	0	0	0
10093	ARPC4	P59998	V	36	21	8	1	2	2	2	0	0	0	0
85236	HIST1H2BK	O60814	V	36	14	8	4	2	5	3	0	0	0	0
6203	RPS9	P46781	V	36	17	7	3	1	7	0	0	0	0	1
983	CDK1	P06493	V	36	18	8	3	3	0	4	0	0	0	0
7358	UGDH	O60701	V	36	18	7	3	2	2	4	0	0	0	0
5683	PSMA2	P25787	V	36	18	8	4	1	1	4	0	0	0	0
7453	WARS	P23381	V	36	17	7	2	3	0	7	0	0	0	0
5693	PSMB5	P28074	V	36	15	12	1	0	7	1	0	0	0	0
10808	HSPH1	Q92598	V	36	13	10	2	5	0	6	0	0	0	0
29763	PACSIN3	Q9UKS6	V	36	14	8	1	3	0	10	0	0	0	0
1509	CTSD	P07339	V	36	12	7	3	2	7	5	0	0	0	0
5690	PSMB2	P49721	V	36	17	9	4	0	6	0	0	0	0	0
64129	TINAGL1	Q9GZM7	V	36	16	7	3	5	0	5	0	0	0	0
389	RHOC	P08134	V	36	19	8	3	4	0	2	0	0	0	0
5899	RALB	P11234	V	36	22	5	4	3	0	2	0	0	0	0
10085	EDIL3	O43854	V	36	9	9	6	0	8	4	0	0	0	0
5768	QSOX1	O00391	V	36	14	6	3	3	6	4	0	0	0	0
2475	MTOR	P42345	V	36	12	9	2	2	0	11	0	0	0	0
3376	IARS	P41252	V	36	16	9	4	3	1	3	0	0	0	0
1832	DSP	P15924	V	36	18	6	2	0	2	8	0	0	0	0
10075	HUWE1	Q7Z6Z7	V	36	13	7	4	4	0	8	0	0	0	0
5917	RARS	P54136	V	36	18	10	2	3	1	2	0	0	0	0
6158	RPL28	P46779	V	36	17	7	2	4	1	4	0	0	0	1
4851	NOTCH1	P46531	V	36	16	9	1	5	0	5	0	0	0	0
213	ALB	P02768	V	35	14	4	3	0	14	0	0	0	0	0
8294	HIST1H4I	B2R4R0	V	35	18	6	1	0	10	0	0	0	0	0
22948	CCT5	P48643	V	35	17	8	3	3	1	3	0	0	0	0
2821	GPI	P06744	V	35	18	6	2	1	7	1	0	0	0	0
6175	RPLP0	P05388	V	35	18	7	2	4	2	2	0	0	0	0
6202	RPS8	P62241	V	35	19	7	2	2	3	2	0	0	0	0
1495	CTNNA1	P35221	V	35	17	10	3	1	2	2	0	0	0	0
483	ATP1B3	P54709	V	35	14	8	5	5	1	2	0	0	0	0
11021	RAB35	Q15286	V	35	19	6	3	5	1	1	0	0	0	0
977	CD151	P48509	V	35	17	6	5	1	0	6	0	0	0	0
3698	ITIH2	P19823	V	35	8	8	4	4	7	4	0	0	0	0
3190	HNRNPK	P61978	V	35	19	10	3	1	0	2	0	0	0	0
3685	ITGAV	P06756	V	35	17	8	2	4	3	1	0	0	0	0
5093	PCBP1	Q15365	V	35	16	10	2	3	1	2	0	0	0	1
6566	SLC16A1	P53985	V	35	20	8	4	1	0	2	0	0	0	0
3315	HSPB1	P04792	V	35	14	10	4	1	2	4	0	0	0	0
6191	RPS4X	P62701	V	35	17	7	4	3	1	3	0	0	0	0
51160	VPS28	Q9UK41	V	35	21	9	2	0	0	3	0	0	0	0
51599	LSR	Q86X29	V	35	19	8	2	2	0	4	0	0	0	0
161	AP2A2	O94973	V	35	20	10	4	1	0	0	0	0	0	0
4522	MTHFD1	P11586	V	35	17	8	3	5	0	2	0	0	0	0
7086	TKT	P29401	V	35	15	9	2	1	7	1	0	0	0	0
960	CD44	P16070	V	35	20	7	5	0	3	0	0	0	0	0
5479	PPIB	P23284	V	35	18	10	2	1	1	3	0	0	0	0
5869	RAB5B	P61020	V	35	16	8	3	2	0	6	0	0	0	0
6204	RPS10	P46783	V	35	19	8	4	3	0	1	0	0	0	0
128866	CHMP4B	Q9H444	V	35	20	8	2	1	2	2	0	0	0	0
11034	DSTN	P60981	V	35	13	7	6	4	1	4	0	0	0	0
445582	POTEE	Q6S8J3	V	35	18	3	4	4	0	6	0	0	0	0
1303	COL12A1	Q99715	V	35	7	11	1	4	7	5	0	0	0	0
7408	VASP	P50552	V	35	17	8	4	0	0	6	0	0	0	0
2617	GARS	P41250	V	35	17	11	4	0	1	2	0	0	0	0
4642	MYO1D	O94832	V	35	17	8	3	2	0	5	0	0	0	0
22883	CLSTN1	O94985	V	35	14	6	3	4	8	0	0	0	0	0
1365	CLDN3	O15551	V	35	19	7	2	1	0	6	0	0	0	0
6059	ABCE1	P61221	V	35	17	8	2	2	0	6	0	0	0	0
9943	OXSR1	O95747	V	35	12	8	3	2	0	10	0	0	0	0
3927	LASP1	Q14847	V	35	17	7	3	1	0	7	0	0	0	0
2495	FTH1	P02794	V	35	8	8	3	4	0	12	0	0	0	0
5902	RANBP1	P43487	V	35	12	11	3	1	0	8	0	0	0	0
23564	DDAH2	O95865	V	35	17	11	3	1	0	3	0	0	0	0
163590	TOR1AIP2	Q8NFQ8	V	35	3	9	4	7	0	12	0	0	0	0
159	ADSS	P30520	V	35	14	9	1	3	0	8	0	0	0	0
871	SERPINH1	P50454	V	35	12	9	3	4	2	4	0	0	0	1
2885	GRB2	P62993	V	35	18	10	3	3	0	1	0	0	0	0
5711	PSMD5	Q16401	V	35	16	9	4	2	0	4	0	0	0	0
8825	LIN7A	O14910	V	35	18	9	3	5	0	0	0	0	0	0
388	RHOB	P62745	V	35	15	8	3	3	0	6	0	0	0	0
5859	QARS	P47897	V	35	16	6	3	4	0	6	0	0	0	0
8239	USP9X	Q93008	V	35	12	9	4	2	0	8	0	0	0	0
8663	EIF3C	Q99613	V	35	11	11	1	3	6	3	0	0	0	0
7045	TGFBI	Q15582	V	35	20	8	3	1	1	2	0	0	0	0
8774	NAPG	Q99747	V	35	15	9	6	5	0	0	0	0	0	0
445	ASS1	P00966	V	35	14	9	3	3	0	6	0	0	0	0
1017	CDK2	P24941	V	35	16	7	3	5	0	4	0	0	0	0
1785	DNM2	P50570	V	35	14	9	4	4	0	4	0	0	0	0
2734	GLG1	Q92896	V	35	9	7	3	0	6	10	0	0	0	0
3958	LGALS3	P17931	V	35	17	8	5	0	1	4	0	0	0	0
8985	PLOD3	O60568	V	35	14	7	3	3	6	2	0	0	0	0
10540	DCTN2	Q13561	V	35	13	10	3	3	0	6	0	0	0	0
6154	RPL26	P61254	V	35	14	9	3	3	2	4	0	0	0	0
1917	EEF1A2	Q05639	V	34	18	8	1	4	0	2	0	0	0	1
26227	PHGDH	O43175	V	34	15	8	1	2	2	6	0	0	0	0
6124	RPL4	P36578	V	34	15	11	3	0	1	4	0	0	0	0
5226	PGD	P52209	V	34	15	7	5	0	2	5	0	0	0	0
