Sample	cancer_type	type	HLA-A	PDCD6IP	P60033	HSP90AA1	PPIA	PKM	PSMD11	YWHAE	EEF2	HSP90AB1
MS141031QE_Bruno_Lyden_A459	lung	cell culture	NA	141770758.8	814098260.8	459297887.6	240251096.7	392255599	18660322.06	47201476.89	160825580	422068656
MS141031QE_Bruno_Lyden_ET2B	lung	cell culture	NA	NA	NA	NA	1747419.781	6865122.531	NA	NA	4570657.797	NA
MS141031QE_Bruno_Lyden_H2228	lung	cell culture	113274476.9	78366553	292294677.7	710158797.6	1232774579	661927628.7	23025096.67	3826676773	243875531.2	936156842.3
MS141031QE_Bruno_Lyden_H358	lung	cell culture	1996815688	885204633.7	803402612	6717528334	7041718440	10587488146	94082421.5	10138332288	2321184668	6717528334
MS173515QEp_Katharine_Lyden_LC_bone_met_17	lung	cell culture	328547456	186557729.2	NA	3452599287	1368093635	15550476815	362914350.2	726890746.2	2225886978	3452599287
MS151440QE_Bruno_Lyden_CCG9911_Wilms_tumor	kidney	cell culture	98838378	1083034996	2911655721	2439419631	1988476186	2109659928	79719387.25	471667984	785527353.6	2340126214
MS151510QE_Bruno_Lyden_Wilms_tumor_CLS1	kidney	cell culture	248377803	465437461.3	5651553906	4082032715	3511892655	4309592206	305064713	581532632	2970497200	4056947499
MS173515QEp_Katharine_Lyden_Renal_bone_met	kidney	cell culture	1027527109	271665310.7	697928342.7	2018933257	1700132936	26144460467	234762006.3	804213821.3	3289575538	2145736624
MS141070QE_Bruno_Lyden_M2	HN	cell culture	513965792.4	621032204.2	817729063	6422729041	10724820948	24795257645	563551956.7	2247169568	4587370453	6422729041
MS141070QE_Bruno_Lyden_M9	HN	cell culture	146869107.3	653729635.3	NA	13337232904	28913259632	79898047745	582483844.3	2276720864	5856614297	15097256778
MS173259QEp_Ayuko_Lyden_P01-015-T01	HCC	not plasma	NA	197921075.7	NA	4674055713	2688109532	781812120.6	258266577.2	148879820.5	1612508022	4674055713
MS173551QEp_Miho_Lyden_P01-020-T01	HCC	not plasma	5044970.875	187319961	661217451.1	3725987319	1518185063	1975210261	221650865.6	88587268.77	1528108407	3725987319
MS173551QEp_Miho_Lyden_P01-021-T01	HCC	not plasma	NA	112482091.6	144351643.5	1744306642	393560265.7	2858723828	144356152.1	52583871	664064077.6	1744306642
MS184612LUM_haiying_lyden_P01-020-ac2-T01_a	HCC	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS184612LUM_haiying_lyden_P01-025-T01_a	HCC	not plasma	180882064.3	110877514.8	850574662.5	626097642.4	735851060.3	976620249.1	81312603.25	147926993.2	712630361.3	626097642.4
MS184612LUM_haiying_lyden_P01-035-T01_a	gastric	not plasma	428131584	1289196725	483557330	32659777904	68735528213	65688493861	2172909155	1619446286	20771174636	35444022197
MS13451QE_Bruno_Lyden_SNU16gastric_A	gastric	cell culture	7122208.25	4950562.18	NA	23385161.96	108791032.5	81854865.13	5309106.297	4467756.328	92022065.43	32395955.16
MS13451QE_Bruno_Lyden_SNU1gastric_A	gastric	cell culture	19995146.51	27843313.56	123748806.3	91616393.33	207928310.4	411451477.7	3275870.594	138043227.5	76031625.11	70461283.29
MS14787QE_Hector_Lyden_HGC27	gastric	cell culture	93044352.13	391040063.9	875179179.2	2148368625	1971640394	1049916830	169407019	1348512577	1112635401	2500392892
MS173449QEp_Daniela_Lyden_MOCK4_1	gastric	cell culture	38960966	199998693.2	297686744.3	1374463235	1129346766	1117199301	96724299	603973731.4	433440621.4	1374463235
MS162879QEp_Ayuko_Lyden_WE002_tumor	colorectum	not plasma	185529184.7	866892747.3	1175509148	2498729766	1869709953	5356252174	440009095.2	290489157.8	2246168361	2498729766
MS162879QEp_Ayuko_Lyden_WE004_tumor	colorectum	not plasma	156843809.8	645691749.7	165014080.6	7474508501	6037661346	15398696540	545461158.7	192581878.5	6191909584	7474508501
MS162879QEp_Ayuko_Lyden_WE005_tumor	colorectum	not plasma	51169554.33	791907438	367602270.9	5790575984	4111210010	7703903368	639696992.3	247846208.3	2823208635	5790575984
MS14722QE_Bruno_Lyden_HLIEC	colorectum	cell culture	34421091.83	103180666.3	155014157.5	799941104.8	627913660.3	911037964	45101230	503052534.8	485962653.1	765190738.4
MS14722QE_Bruno_Lyden_HT29	colorectum	cell culture	73347243.88	368183764.5	785789859.7	1704350716	2298791004	2849985499	42061378.69	1534849903	528900543.2	1599738682
MS14722QE_Bruno_Lyden_SW620	colorectum	cell culture	50765032.38	1415455523	1418796848	6130495970	6042123514	5410456110	269349156.8	7735694860	2134229884	6130495970
MS151767QE_Bruno_Lyden_HCT116_liver_tropic_1	colorectum	cell culture	73146746.13	438379376.8	890603253.5	1713489869	845156018.8	1342503319	68532014.38	321114278.9	323177956.1	1617183164
MS162639QEp_Ayuko_Lyden_parental_a	colorectum	cell culture	NA	2194349742	9474486243	2905096292	1452463227	2158731947	98189408.5	1014925675	671043796.8	2606317203
MS151558QE_Bruno_Lyden_BC1	breast	not plasma	NA	48293100.75	NA	353864247.9	344977990.2	373441039.9	29326625.5	101853984.6	127052693.7	396207931.8
MS151558QE_Bruno_Lyden_BC2	breast	not plasma	610938544.4	147285393.1	1001680466	1459803782	1218933629	1508437098	65313946.33	2274948311	701663602.8	1314389570
MS162175QEp_Bruno_Lyden_CF36	breast	not plasma	43227508.25	NA	NA	NA	NA	NA	NA	34400915.17	NA	9630604
MS162175QEp_Bruno_Lyden_CF4	breast	not plasma	8289314.969	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS162642QEp_Ayuko_Lyden_5666	breast	not plasma	37977758.65	270743222.5	678973687.4	1053228410	1378642313	2206239687	165748000.3	86207835.83	678896586.6	922561710.5
MS162642QEp_Ayuko_Lyden_5667	breast	not plasma	28209278.5	262695797.4	1060318093	2725271269	1511214910	3788468149	348300685.7	355615669.6	1272191091	3015347794
MS162642QEp_Ayuko_Lyden_6061	breast	not plasma	92281125.25	349245795.7	835907945.2	3077352472	3119013600	13653972960	559616999.3	515269029.4	3511626990	4538191733
MS183912QEp_Ayuko_Lyden_BR19	breast	not plasma	888332607.9	634294249.5	2552556456	4083250022	3914751038	12403120126	245570633.3	748775992.5	2538369853	4083250022
MS13375_Bruno_Lyden_MCF7_bone_A	breast	cell culture	NA	36940855.77	8823211.013	36218455.04	17798620.68	60667492.45	NA	45614473.5	46503016.84	41092899.52
MS13451QE_Bruno_Lyden_831brain_A	breast	cell culture	17962274.06	15443884.49	NA	9275535.083	44478615.4	42335492.15	NA	9308069.875	26151996.69	26495617.98
MS13638QE_Bruno_Lyden_SKBr-3	breast	cell culture	NA	362257403.3	1567621143	1194115016	2704937314	1956355886	212561211.3	591796049.8	2168108371	1157682186
