Sample	cancer_type	type	UBAP1	UHRF2	VPS37A	WDR3	YTHDC1	SERPINF2	STAG1	SUPT6H	TP53BP1	TXNDC9
MS162639QEp_Ayuko_Lyden_parental_a	colorectum	cell culture	NA	NA	NA	NA	NA	1219480732	NA	NA	NA	NA
MS151558QE_Bruno_Lyden_BC1	breast	not plasma	NA	14225442.63	NA	3413399.75	NA	204635731.5	NA	NA	28626447.81	NA
MS151558QE_Bruno_Lyden_BC2	breast	not plasma	NA	NA	NA	NA	NA	222329962.5	NA	NA	NA	NA
MS162175QEp_Bruno_Lyden_CF36	breast	not plasma	NA	NA	NA	NA	NA	366434546.3	NA	NA	NA	NA
MS162175QEp_Bruno_Lyden_CF4	breast	not plasma	NA	NA	NA	NA	NA	182363998.6	NA	NA	NA	NA
MS162642QEp_Ayuko_Lyden_5666	breast	not plasma	NA	NA	NA	15915624.25	NA	NA	24006682.28	NA	NA	8875849.625
MS162642QEp_Ayuko_Lyden_5667	breast	not plasma	NA	NA	NA	NA	NA	75311714.33	42149918.08	NA	NA	6386138.875
MS162642QEp_Ayuko_Lyden_6061	breast	not plasma	NA	NA	NA	10482836.63	NA	60952491.13	NA	NA	15768448.38	40237950.75
MS183912QEp_Ayuko_Lyden_BR19	breast	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	9004302.5
MS13375_Bruno_Lyden_MCF7_bone_A	breast	cell culture	NA	NA	NA	NA	NA	18266234.66	NA	NA	NA	NA
MS13451QE_Bruno_Lyden_831brain_A	breast	cell culture	NA	NA	NA	NA	NA	13707281.39	NA	NA	NA	NA
MS13638QE_Bruno_Lyden_SKBr-3	breast	cell culture	NA	NA	16425634.13	36270329.6	NA	1504126386	NA	NA	NA	NA
MS13666QE_Bruno_Lyden_4173	breast	cell culture	NA	NA	NA	NA	NA	1549400411	NA	NA	NA	NA
MS13666QE_Bruno_Lyden_4180	breast	cell culture	NA	NA	NA	NA	NA	743331540.5	NA	NA	NA	NA
MS141093QE_Bruno_Lyden_T4	breast	cell culture	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS151641QE_Bruno_Lyden_MDA-231-BR_YONEDA	breast	cell culture	NA	NA	NA	NA	NA	1750484173	NA	NA	NA	NA
MS151670QE_Bruno_Lyden_MDA_WT	breast	cell culture	NA	NA	NA	NA	NA	3025792653	NA	NA	NA	NA
MS151767QE_Bruno_Lyden_4175_lung_tropic_1	breast	cell culture	NA	NA	NA	NA	NA	782650251.4	NA	NA	NA	NA
MS151767QE_Bruno_Lyden_MDA_parental_1	breast	cell culture	NA	NA	NA	NA	NA	514234780.8	NA	NA	NA	NA
MS151767QE_Bruno_Lyden_Yoneda_brain_tropic_1	breast	cell culture	NA	NA	NA	NA	NA	500332234.2	NA	NA	NA	NA
MS151831QE_Bruno_Lyden_MDA-MB-468_repeat	breast	cell culture	NA	NA	NA	NA	NA	898058107.5	NA	NA	NA	10041800.5
MS152035QE_Bruno_Lyden_1833_bone_tropic_1	breast	cell culture	NA	NA	NA	NA	NA	2958856547	NA	NA	NA	NA
MS162321QEp_Bruno_Lyden_T4-AIIB2	breast	cell culture	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS162321QEp_Bruno_Lyden_T4-PD	breast	cell culture	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS172982QEp_Ayuko_Lyden_MCF_10CA_1D	breast	cell culture	NA	NA	NA	NA	NA	2451815.027	NA	NA	NA	NA
MS162321QEp_Bruno_Lyden_T4-3D	breast	cell culture	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
