Gene,EntrezID,UNIPROT,3250_overlap,protein_rank_3250,protein_rank_3250_rev,Concentration(ng/L),number of EXPERIMENT,Median
ISOC2,79763,Q96AB3,P,1924,1327,220,12,18104782.06
PTPRK,5796,Q15262,P,1925,1326,13000,22,24493026.45
PPIF,10105,P30405,P,1926,1325,320,16,83395004.29
ERAP2,64167,Q6P179,P,1927,1324,11000,11,16918572.01
ATP6V1B2,526,P21281,P,1928,1323,310,23,58841412.04
MAP4,4134,P27816,P,1931,1320,880,20,20077882.5
UBE2M,9040,P61081,P,1932,1319,49,31,104774755.3
ATP6V1G1,9550,O75348,P,1934,1317,96,17,27450826
TIMM8A,1678,O60220,P,1935,1316,59,14,105945955.5
RHOG,391,P84095,P,1937,1314,86,28,140174699.3
PAXX,286257,Q9BUH6,P,1938,1313,95,10,37429579.75
EHD3,30845,Q9NZN3,P,1939,1312,15000,30,181893950.1
FBXO7,25793,Q9Y3I1,P,1941,1310,550,18,30378313
SERPINE2,5270,P07093,P,1942,1309,910,39,18294786
VDAC1,7416,P21796,P,1943,1308,1300,25,62088694.2
SERPINB1,1992,P30740,P,1944,1307,24000,29,40919862
RHOA,387,P61586,P,1945,1306,1500,36,546730830.7
PRMT5,10419,O14744,P,1946,1305,45,29,106578860.7
NAP1L4,4676,Q99733,P,1949,1302,3100,33,104956430.9
RPL28,6158,P46779,P,1950,1301,59,36,155162865.4
ERAP1,51752,Q9NZ08,P,1951,1300,30000,18,33151373.18
PPA1,5464,Q15181,P,1952,1299,1000,27,172586555.9
PSMA1,5682,P25786,P,1953,1298,20000,39,365071379
MYH10,4628,P35580,P,1954,1297,28000,32,261245897.8
INPP1,3628,P49441,P,1955,1296,31,11,38250784.5
ATP6V1A,523,P38606,P,1957,1294,700,30,107127618.1
ACO1,48,P21399,P,1958,1293,10000,19,150834912.3
RPL23A,6147,P62750,P,1959,1292,86,33,69816066.38
RPS15,6209,P62841,P,1961,1290,460,26,66940997.84
HDGF,3068,P51858,P,1962,1289,790,18,68635703.27
LAMC1,3915,P11047,P,1967,1284,100000,40,60236190.21
HNRNPU,3192,Q00839,P,1968,1283,2100,34,520598727.8
CORO1A,11151,P31146,P,1970,1281,45000,15,370979297.7
PBLD,64081,P30039,P,1975,1276,1100,9,58182024.42
ATP6V1F,9296,Q16864,P,1976,1275,26,15,35366732.13
CCAR2,57805,Q8N163,P,1977,1274,19,22,97961698.94
GUSB,2990,P08236,P,1978,1273,330,11,33695294.88
YWHAH,7533,Q04917,P,1980,1271,42000,38,513235553.8
RPLP0,6175,P05388,P,1982,1269,770,35,369078306.3
MGLL,11343,Q99685,P,1983,1268,100,18,78654312.65
LBP,3929,P18428,P,1989,1262,1300000,8,55022412.25
ALDH16A1,126133,Q8IZ83,P,1990,1261,600,32,110187652.8
CUL3,8452,Q13618,P,1991,1260,65,27,10032159.25
SNX18,112574,Q96RF0,P,1992,1259,12,17,33257308.5
SDC1,6382,P18827,P,1995,1256,3100,19,69694288.54
PRKCSH,5589,P14314,P,1997,1254,55000,20,38308889.47
EIF5,1983,P55010,P,1998,1253,77,26,46026057.81
FBLN5,10516,Q9UBX5,P,1999,1252,12000,6,39399487.08
SRP9,6726,P49458,P,2000,1251,22,28,68696357.95
XPO7,23039,Q9UIA9,P,2001,1250,53,34,47698861.58
GALK2,2585,Q01415,P,2004,1247,24,17,62564139.46
ABHD11,83451,Q8NFV4,P,2005,1246,31,13,15529822.47
ATIC,471,P31939,P,2006,1245,3900,25,259506548.7
SMC1A,8243,Q14683,P,2007,1244,33,26,27469917.42
PKM,5315,P14618,P,2008,1243,310000,55,2040411478
PSMD10,5716,O75832,P,2009,1242,250,18,78139519
XRCC5,7520,P13010,P,2010,1241,940,47,589383372.5
NUMB,8650,P49757,P,2012,1239,12,13,38033192
EIF1,10209,P41567,P,2013,1238,210,15,17384217.38
GPC6,10082,Q9Y625,P,2014,1237,420,25,58128259.06
NIT1,4817,Q86X76,P,2015,1236,89,12,106653871.6
RANBP1,5902,P43487,P,2017,1234,1400,35,82197485.88
PRDX4,10549,Q13162,P,2018,1233,4400,39,255236707.8
VPS4B,9525,O75351,P,2019,1232,32,31,56606147.67
DDX1,1653,Q92499,P,2022,1229,86,26,122060723.8
IFI30,10437,P13284,P,2026,1225,110,9,48377375.38
PIN1,5300,Q13526,P,2027,1224,120,13,32414925
CAPG,822,P40121,P,2028,1223,5400,16,69188035.5
CPS1,1373,P31327,P,2029,1222,8300,26,73371053.5
APOE,348,P02649,P,2031,1220,29000000,24,442398586.3
CTBP1,1487,Q13363,P,2032,1219,16,14,88425297.25
STAT1,6772,P42224,P,2033,1218,92,32,79227526
UAP1,6675,Q16222,P,2034,1217,48,22,57133328.38
MBP,4155,P02686,P,2035,1216,54,5,34481035.16
SNX1,6642,Q13596,P,2037,1214,6100,23,73707442.09
RPL6,6128,Q02878,P,2038,1213,620,31,152817204.9
PSMB1,5689,P20618,P,2040,1211,15000,44,233558619.1
GPNMB,10457,Q14956,P,2041,1210,33000,16,137266114
CAND1,55832,Q86VP6,P,2043,1208,5900,38,134381969.3
MYH14,79784,Q7Z406,P,2045,1206,9600,34,196375945.2
PSMB7,5695,Q99436,P,2046,1205,2100,19,170097126.3
KCTD12,115207,Q96CX2,P,2047,1204,21000,13,71022783.56
THBS4,7060,P35443,P,2048,1203,510000,22,218787111.3
CBX5,23468,P45973,P,2049,1202,22,16,69896364
HNRNPR,10236,O43390,P,2050,1201,470,29,260879988.8
PLS1,5357,Q14651,P,2056,1195,56000,31,62575632.69
SERPINF1,5176,P36955,P,2059,1192,44000000,14,368947968.3
DPYSL3,1809,Q14195,P,2061,1190,740,21,286492362.4
HNRNPA3,220988,P51991,P,2062,1189,1800,27,261828833.3
LRRFIP1,9208,Q32MZ4,P,2063,1188,580,18,12196052
YARS1,8565,P54577,P,2065,1186,1400,26,78842204.92
HSPD1,3329,P10809,P,2066,1185,18000,38,40729277.92
APMAP,57136,Q9HDC9,P,2067,1184,130000,31,58486606.48
ESYT1,23344,Q9BSJ8,P,2068,1183,720,26,41388825.44
TGM2,7052,P21980,P,2069,1182,1700,33,227940790.9
OXSR1,9943,O95747,P,2070,1181,300,35,54618175.13
GUK1,2987,Q16774,P,2071,1180,240,12,22833927.78
TCP1,6950,P17987,P,2072,1179,2300,50,213381161.8
PSMA4,5685,P25789,P,2073,1178,13000,42,214032087.6
PDLIM1,9124,O00151,P,2074,1177,93000,23,31542317.81
MAP2K1,5604,Q02750,P,2075,1176,120,20,98189135.52
FBLN1,2192,P23142,P,2076,1175,21000000,17,362912070.8
LY75,4065,O60449,NA,2078,1173,1300,15,31609492.2
PDXK,8566,O00764,P,2080,1171,830,28,130457440.3
VCAM1,7412,P19320,P,2081,1170,1300000,16,34259858
CFH,3075,P08603,P,2085,1166,100000000,12,57948261.38
LNPEP,4012,Q9UIQ6,P,2086,1165,9800,26,21478262.88
HSD17B4,3295,P51659,P,2088,1163,450,33,47453275.08
PTPN11,5781,Q06124,P,2089,1162,74,22,31312218
RSU1,6251,Q15404,P,2090,1161,33000,26,45793003.61
TBCB,1155,Q99426,P,2091,1160,120,26,46462827.94
M6PR,4074,P20645,P,2092,1159,100,24,61392072.13
GLTP,51228,Q9NZD2,P,2093,1158,25,7,28983166.63
SNX2,6643,O60749,P,2094,1157,150,23,87024856
CTSB,1508,P07858,P,2095,1156,100000,15,324748457.3
TGFB1I1,7041,O43294,P,2096,1155,800,5,28393448.85
NUDC,10726,Q9Y266,P,2098,1153,140,29,40011327
ACP2,53,P11117,P,2101,1150,12,25,40848461.67
ASPH,444,Q12797,P,2103,1148,1100,15,55456176.47
PSMA5,5686,P28066,P,2105,1146,20000,38,301661700.5
PA2G4,5036,Q9UQ80,P,2106,1145,2300,25,246785598.9
IL18,3606,Q14116,P,2107,1144,16,15,48838560.13
EEF2,1938,P13639,P,2108,1143,17000,54,973742406.5
HNRNPA2B1,3181,P22626,P,2109,1142,11000,29,138637600
HSPA4,3308,P34932,P,2110,1141,14000,37,71957725.23
FBLN2,2199,P98095,P,2112,1139,35000,17,103574053.6
PFKL,5211,P17858,P,2113,1138,1100,32,222036469.3
RAB2A,5862,P61019,P,2114,1137,170,38,161226158.7
CPN1,1369,P15169,P,2115,1136,13000000,1,383540021.1
AGT,183,P01019,P,2116,1135,65000000,3,29405236.97
BLVRA,644,P53004,P,2117,1134,1200,31,155116957.3
CLIC2,1193,O15247,P,2119,1132,150,20,67857073.88
PFAS,5198,O15067,P,2120,1131,670,30,35199787
CRKL,1399,P46109,P,2121,1130,2100,24,12055905.02
ALDH1B1,219,P30837,P,2122,1129,500,17,416438376.5
LGALS3BP,3959,Q08380,P,2125,1126,7100000,52,532425347.5
ITGA5,3678,P08648,P,2126,1125,26000,24,35902906.33
PLEK,5341,P08567,P,2127,1124,380000,11,103135386.7
CD2AP,23607,Q9Y5K6,P,2128,1123,58,27,29252676.33
MYH9,4627,P35579,P,2129,1122,410000,48,486609955.7
ENTPD1,953,P49961,P,2131,1120,19,13,63020280.45
TNC,3371,P24821,P,2133,1118,840000,15,61273510.2
ARF6,382,P62330,P,2134,1117,310,34,73972838.38
GALK1,2584,P51570,P,2136,1115,57,18,154803393.2
RO60,6738,P10155,P,2137,1114,50,15,41673127.95
SKP1,6500,P63208,P,2139,1112,880,26,47634286.79
FKBP1A,2280,P62942,P,2141,1110,12000,29,53532829.5
S100A10,6281,P60903,P,2142,1109,270,31,407675788.1
NHLRC2,374354,Q8NBF2,P,2143,1108,120,20,39523043.5
NUDT2,318,P50583,P,2144,1107,65,12,42170820
ANXA4,307,P09525,P,2145,1106,550,49,497229342.5
LYPLA1,10434,O75608,P,2146,1105,330,37,209232297.7
ASNS,440,P08243,P,2147,1104,47,29,40058811.65
AHNAK,79026,Q09666,P,2149,1102,10000,44,194071132
HNRNPK,3190,P61978,P,2150,1101,7100,35,366237076.5
LRRC57,255252,Q8N9N7,P,2151,1100,26,27,20162810.23
SNX5,27131,Q9Y5X3,P,2152,1099,8.2,25,39148701.7
DYNC1LI1,51143,Q9Y6G9,P,2154,1097,23,26,54663226
ERBB2,2064,P04626,P,2155,1096,980,28,139375820.6
CD46,4179,P15529,P,2156,1095,1000,44,38389988.75
SSBP1,6742,Q04837,P,2157,1094,150,27,49921162.36
LRRFIP2,9209,Q9Y608,P,2158,1093,150,9,51618776
ITGAL,3683,P20701,P,2159,1092,1600,8,40279267
ANO6,196527,Q4KMQ2,P,2160,1091,47,21,24367404.71
ADAM10,102,O14672,P,2161,1090,690,38,74151057
SORD,6652,Q00796,P,2162,1089,2800,29,66681908.72
PROCR,10544,Q9UNN8,P,2163,1088,980000,15,4100607
PDIA6,10130,Q15084,P,2164,1087,15000,28,53027192.33
SUGT1,10910,Q9Y2Z0,P,2166,1085,17,22,36688803.27
GALM,130589,Q96C23,P,2168,1083,620,10,121570427
DNAJA2,10294,O60884,P,2169,1082,67,33,59901665.25
HNRNPL,3191,P14866,P,2170,1081,420,31,248438082.1
PGLS,25796,O95336,P,2171,1080,7200,32,69678470.17
TIMM9,26520,Q9Y5J7,P,2172,1079,78,5,13812398.13
ATL3,25923,Q6DD88,P,2173,1078,58,20,58007006.58
XRCC6,2547,P12956,P,2174,1077,700,43,493306057
RAB8A,4218,P61006,P,2176,1075,4800,37,783989243.3
DBNL,28988,Q9UJU6,P,2177,1074,3500,29,50865112.75
PURB,5814,Q96QR8,P,2178,1073,150,20,58141510.09
IST1,9798,P53990,P,2181,1070,270,39,60696743.02
GALNT7,51809,Q86SF2,P,2183,1068,6200,8,47711730.25
HEXB,3074,P07686,P,2184,1067,40000,43,59107545
SERPINA7,6906,P05543,P,2185,1066,25000000,1,382188038.6
COASY,80347,Q13057,P,2186,1065,20,23,43538116.5
CCT7,10574,Q99832,P,2187,1064,1900,28,238843223.6
PTPA,5524,Q15257,P,2188,1063,4300,24,10435967.55
BLMH,642,Q13867,P,2189,1062,42000,22,19036964.06
ENO1,2023,P06733,P,2190,1061,310000,49,1841811609
PTMS,5763,P20962,P,2191,1060,300,9,28733348.38
PPP1R7,5510,Q15435,P,2192,1059,960,18,23172296.63
RPL10A,4736,P62906,P,2193,1058,740,33,200538626.3
WASF2,10163,Q9Y6W5,P,2194,1057,84,24,28348156.94
TTC38,55020,Q5R3I4,P,2196,1055,170,21,55397758.67
MMRN2,79812,Q9H8L6,P,2197,1054,84000,1,10500602.88
SMS,6611,P52788,P,2198,1053,16,25,46639407.38
HPCAL1,3241,P37235,P,2199,1052,92,20,41857913.57
ACY1,95,Q03154,P,2200,1051,23000,17,52015652.16
GBP1,2633,P32455,P,2201,1050,110,13,45417192.8
CCT8,10694,P50990,P,2202,1049,1100,32,261392617.3
DCTN1,1639,Q14203,P,2203,1048,250,31,86532127.38
TFG,10342,Q92734,P,2206,1045,320,19,41477197.16
CDC37,11140,Q16543,P,2207,1044,610,25,37292685.48
ANXA5,308,P08758,P,2209,1042,5000,45,753680630.5
BCAP31,10134,P51572,P,2210,1041,170,21,93547404.17
FN1,2335,P02751,P,2211,1040,47000000,38,832501070.9
GNAQ,2776,P50148,P,2212,1039,800,29,60430750.38
MARCKS,4082,P29966,P,2213,1038,19000,25,159809779.8
RPL12,6136,P30050,P,2214,1037,710,45,398209815.8
CCT4,10575,P50991,P,2215,1036,1700,36,353112843.8
PSME2,5721,Q9UL46,P,2217,1034,5900,26,75636355
PEF1,553115,Q9UBV8,P,2218,1033,570,40,35193541
PPIB,5479,P23284,P,2219,1032,33000,35,114499590.5
THBS1,7057,P07996,P,2222,1029,1400000,40,418185064.3
CARHSP1,23589,Q9Y2V2,P,2223,1028,280,14,83667959.19
FLOT2,2319,Q14254,P,2224,1027,170,42,74577823.49
IQGAP1,8826,P46940,P,2226,1025,1500,47,197410456.8
COPS7A,50813,Q9UBW8,P,2227,1024,54,13,28839514.5
C6,729,P13671,P,2228,1023,9200000,14,92446677.31
GAA,2548,P10253,P,2230,1021,3800,25,70524159.75
PPP2R1A,5518,P30153,P,2231,1020,2000,33,282792731.7
STIP1,10963,P31948,P,2233,1018,3600,42,45476162.88
ILK,3611,Q13418,P,2234,1017,30000,31,167338417.3
GMDS,2762,O60547,P,2235,1016,72,31,133003707.5
EFEMP1,2202,Q12805,P,2236,1015,1900000,13,32034616
RPL9,6133,P32969,P,2237,1014,180,33,140803890.2
NAPRT,93100,Q6XQN6,P,2238,1013,2300,22,79333244.97
APLP2,334,Q06481,P,2239,1012,1500,24,38668443.46
MPP1,4354,Q00013,P,2240,1011,650,6,15450720.2
TSN,7247,Q15631,P,2241,1010,280,26,26346757.75
NAMPT,10135,P43490,P,2243,1008,1400,34,126159958.2
FSCN1,6624,Q16658,P,2244,1007,4300,29,221725085.2
NID1,4811,P14543,P,2246,1005,150000,18,72875873.08
PAFAH1B2,5049,P68402,P,2247,1004,250,28,84745818
UFC1,51506,Q9Y3C8,P,2248,1003,62,14,17329031.25
VAMP5,10791,O95183,P,2249,1002,130,12,9297481.781
SNAP29,9342,O95721,P,2250,1001,110,15,11623372.95
ARPC5L,81873,Q9BPX5,P,2251,1000,97,25,21700645.13
RPS8,6202,P62241,P,2253,998,290,35,255903883.1
RAB21,23011,Q9UL25,P,2254,997,13,32,75105344.31
FLOT1,10211,O75955,P,2256,995,160,47,79544528
ALDOA,226,P04075,P,2257,994,640000,40,251092073.6
TPT1,7178,P13693,P,2259,992,1500,28,110307450.4
PGM2,55276,Q96G03,P,2260,991,1700,11,21412064.75
CCT5,22948,P48643,P,2262,989,1400,35,309817608.8
PLCG2,5336,P16885,P,2263,988,8.2,17,29071176.38
OTUB1,55611,Q96FW1,P,2264,987,500,27,104436318.9
HMOX1,3162,P09601,P,2267,984,170,13,10049493.25
HMOX2,3163,P30519,P,2268,983,12,12,33025038.94
FERMT2,10979,Q96AC1,P,2269,982,230,21,62364674.79
RPS6,6194,P62753,P,2270,981,320,42,213644198.4
ERP29,10961,P30040,P,2271,980,900,28,44856446.41
RAD23B,5887,P54727,P,2272,979,5900,31,21016509
MAT2A,4144,P31153,P,2273,978,1800,26,86853550.13
OLA1,29789,Q9NTK5,P,2274,977,3300,30,143481293.5
NARS1,4677,O43776,P,2277,974,76,27,124260037.9
DCTN2,10540,Q13561,P,2278,973,630,35,31387509
FYB1,2533,O15117,P,2279,972,6200,11,10869094
GPI,2821,P06744,P,2280,971,86000,35,135669855.3
CPVL,54504,Q9H3G5,P,2281,970,760,20,44416873.5
PGRMC2,10424,O15173,P,2282,969,76,16,62117874
IARS2,55699,Q9NSE4,P,2283,968,35,11,15457659.57
HSD17B10,3028,Q99714,P,2284,967,290,15,31339564.52
CAB39,51719,Q9Y376,P,2285,966,100,34,21775637.44
TUBB,203068,P07437,P,2286,965,170000,45,3989929964
GNB2,2783,P62879,P,2287,964,940,41,675924873.7
BANF1,8815,O75531,P,2288,963,690,28,467668736.7
CAPN1,823,P07384,P,2289,962,9100,32,62449614.5
MAP2K2,5605,P36507,P,2290,961,140,16,91351156
ITIH3,3699,Q06033,P,2291,960,9100000,4,585611740
CTNNA1,1495,P35221,P,2292,959,57,35,123807794.2
CTTN,2017,Q14247,P,2293,958,11000,22,31141645.5
ANXA11,311,P50995,P,2294,957,210,33,225516016.6
HNRNPD,3184,Q14103,P,2295,956,1100,32,124470496.6
ITIH1,3697,P19827,P,2296,955,59000000,2,386475503.8
GNAI2,2771,P04899,P,2297,954,4000,44,515567014.3
SEPTIN7,989,Q16181,P,2299,952,4300,32,156551883.5
SCLY,51540,Q96I15,P,2301,950,300,11,50953492
RPL13,6137,P26373,P,2302,949,190,39,87225393.98
ITGB1,3688,P05556,P,2303,948,270000,53,376782412
NIBAN2,64855,Q96TA1,P,2304,947,1500,26,93488174.54
MAPRE2,10982,Q15555,P,2305,946,13000,16,79746647.92
BPNT1,10380,O95861,P,2306,945,420,27,22063900.5
SACM1L,22908,Q9NTJ5,P,2309,942,82,15,39814904.13
TLN2,83660,Q9Y4G6,P,2310,941,46000,30,150463427.3
CLIC1,1192,O00299,P,2311,940,22000,40,792290561.4
SLC44A1,23446,Q8WWI5,P,2314,937,99,33,98753222.13
CCT2,10576,P78371,P,2315,936,3500,47,325924288.3
CDK6,1021,Q00534,P,2316,935,26,14,161305743.5
EEF1B2,1933,P24534,P,2317,934,840,32,138636372.8
RAN,5901,P62826,P,2320,931,4000,37,1081324044
ACTR3,10096,P61158,P,2322,929,25000,34,191847287.3
RPL27,6155,P61353,P,2323,928,170,26,119486516.5
NSF,4905,P46459,P,2324,927,59,22,72120751.33
EGFR,1956,P00533,P,2325,926,88000,36,39747546.17
LAMTOR3,8649,Q9UHA4,P,2326,925,120,7,114099142.4
ENO2,2026,P09104,P,2328,923,55000,40,108707776
USP14,9097,P54578,P,2330,921,2700,31,107888709.8
SUMF2,25870,Q8NBJ7,P,2331,920,750,11,16981402.63
RPS20,6224,P60866,P,2335,916,210,31,158862793.4
TXNL1,9352,O43396,P,2336,915,1100,26,98372882.29
DST,667,Q03001,P,2337,914,16,15,10842745.25
CAPNS1,826,P04632,P,2339,912,9000,30,87355836.96
COL18A1,80781,P39060,P,2340,911,290000,25,59110259.81
H1-0,3005,P07305,P,2342,909,120,24,80224284.36
DDI2,84301,Q5TDH0,P,2343,908,630,17,12183560.22
GRB2,2885,P62993,P,2344,907,400,35,23835970.8
HMGA1,3159,P17096,P,2346,905,72,27,49138810.75
RPL8,6132,P62917,P,2347,904,170000,40,78404225.15
ANGPTL2,23452,Q9UKU9,P,2348,903,2200,11,26238255.58
GM2A,2760,P17900,P,2349,902,19000,9,33599383
PLBD1,79887,Q6P4A8,P,2350,901,3400,22,22366732.56
RPS23,6228,P62266,P,2351,900,180,20,186251076.3
SUB1,10923,P53999,P,2352,899,120,21,235557231.1
STIM1,6786,Q13586,P,2353,898,1900,9,11313973.31
STOML2,30968,Q9UJZ1,P,2354,897,44,16,17038627.09
ICAM3,3385,P32942,P,2356,895,390000,7,18955253.34
YWHAQ,10971,P27348,P,2357,894,49000,42,520557957.9
HMGB2,3148,P26583,P,2358,893,1200,22,214490766
PSMA2,5683,P25787,P,2360,891,61000,36,226290160.3
CZIB,54987,Q9NWV4,P,2361,890,320,12,23546596.5
TLN1,7094,Q9Y490,P,2362,889,1300000,45,328931448.3
MRI1,84245,Q9BV20,P,2363,888,880,19,24218348.41
NT5E,4907,P21589,P,2365,886,3000,30,121771561
ARHGDIB,397,P52566,P,2366,885,61000,18,96329265.48
RTCB,51493,Q9Y3I0,P,2368,883,73,24,200765691.4
ARPC4,10093,P59998,P,2369,882,5900,36,160768891.8
ST6GAL1,6480,P15907,P,2371,880,3300,6,10551545.19
CPPED1,55313,Q9BRF8,P,2372,879,470,16,7578380.5
RAB14,51552,P61106,P,2374,877,2700,43,379256266.2
ACTR2,10097,P61160,P,2375,876,35000,31,190361839.1
PNPO,55163,Q9NVS9,P,2376,875,450,16,29697907.65
AHCYL1,10768,O43865,P,2377,874,160,28,189304538.7
CTSZ,1522,Q9UBR2,P,2378,873,88000,23,93662496.58
ASMTL,8623,O95671,P,2379,872,17,5,25628827.79
ABHD14B,84836,Q96IU4,P,2380,871,2100,23,81395987.97
ARSA,410,P15289,P,2381,870,5600,14,7122216.75
GGH,8836,Q92820,P,2382,869,1200000,37,37206803
MIF,4282,P14174,P,2384,867,5000,33,946092632.3
GMPPB,29925,Q9Y5P6,P,2385,866,38,26,90157305.21
ITGAM,3684,P11215,P,2386,865,1000,16,60537248.58
NUCKS1,64710,Q9H1E3,P,2388,863,13,2,18620135.38
CAPN2,824,P17655,P,2389,862,2800,34,91204550.38
NUTF2,10204,P61970,P,2390,861,2300,19,196581172.2
SLC25A6,293,P12236,P,2391,860,450,21,58140553
CLTC,1213,Q00610,P,2392,859,14000,46,1028316645
ETFA,2108,P13804,P,2393,858,680,21,37008218.58
SBDS,51119,Q9Y3A5,P,2395,856,190,17,136724540
LIMA1,51474,Q9UHB6,P,2397,854,90,31,39366201.08
PALLD,23022,Q8WX93,P,2399,852,27,9,101421593.3
RPS13,6207,P62277,P,2400,851,190,42,136698958.5
VAPB,9217,O95292,P,2402,849,240,18,46062496
TAGLN2,8407,P37802,P,2403,848,270000,41,446718491.6
CHMP6,79643,Q96FZ7,P,2404,847,17,23,34104361.23
HSPA8,3312,P11142,P,2405,846,140000,50,1714145770
PAPSS2,9060,O95340,P,2406,845,16,15,59045500.42
TNFAIP8,25816,O95379,P,2408,843,470,14,47604061
PTPRC,5788,P08575,P,2410,841,24000,16,80901489.25
CALR,811,P27797,P,2411,840,210000,34,129344477.6
UBAC1,10422,Q9BSL1,P,2412,839,87,10,30117267.25
C9orf64,84267,Q5T6V5,P,2413,838,9.4,15,40695853.58
UBE2V2,7336,Q15819,P,2414,837,800,22,62778863
PSMA3,5684,P25788,P,2415,836,9700,39,335769323
TXNDC17,84817,Q9BRA2,P,2416,835,820,19,62796660.06
SCRN2,90507,Q96FV2,P,2417,834,370,5,56654033.08
AKAP12,9590,Q02952,P,2418,833,10000,19,50805988.69
SH3BGRL2,83699,Q9UJC5,P,2419,832,2000,13,58476225.5
EEA1,8411,Q15075,P,2420,831,20,22,15362487.5
APEX1,328,P27695,P,2421,830,330,18,220854488.5
TECR,9524,Q9NZ01,P,2423,828,10,16,42733293.77
HSPA9,3313,P38646,P,2426,825,3600,34,46040277.38
RAC1,5879,P63000,P,2428,823,3900,43,456707555.5
HSP90AA1,3320,P07900,P,2429,822,71000,56,1670063739
MAPK3,5595,P27361,P,2430,821,46,17,168592078.5
PSAP,5660,P07602,P,2431,820,88000,34,87417585.86
GLIPR2,152007,Q9H4G4,P,2432,819,19000,18,56529688.21
RPL23,9349,P62829,P,2437,814,130,25,152942431.3
DSC2,1824,Q02487,P,2439,812,24000,23,49801852.38
LIMS1,3987,P48059,P,2440,811,10000,23,90336816.21
ATP5F1D,513,P30049,P,2441,810,160,11,2704844.344
ARMT1,79624,Q9H993,P,2443,808,410,13,73288630.83
BAG3,9531,O95817,P,2445,806,460,15,22573632.88
RAB8B,51762,Q92930,P,2447,804,4700,34,807895763.2
STOM,2040,P27105,P,2448,803,16000,29,152731456
PPCS,79717,Q9HAB8,P,2449,802,17,14,55688719.5
OLFM4,10562,Q6UX06,P,2450,801,9.3,13,1431429010
ECM1,1893,Q16610,P,2451,800,8700000,17,43394917.5
HSPA5,3309,P11021,P,2452,799,790000,40,843171480.8
RMDN3,55177,Q96TC7,P,2453,798,42,14,21334959.29
HPRT1,3251,P00492,P,2454,797,9400,25,32815364.25
USP5,8078,P45974,P,2456,795,1200,28,74942460.71
GSTK1,373156,Q9Y2Q3,P,2457,794,110,22,48917095.08
MNDA,4332,P41218,P,2458,793,400,17,86095045.33
GFUS,7264,Q13630,P,2459,792,850,22,100137229.8
POR,5447,P16435,P,2460,791,12,19,63998953.67
FKBP3,2287,Q00688,P,2461,790,1300,24,46183770
TES,26136,Q9UGI8,P,2462,789,34,19,48555937.75
LGALS3,3958,P17931,P,2465,786,1900,35,129199078
FMOD,2331,Q06828,P,2467,784,2600,6,207748400.3
PRCP,5547,P42785,P,2468,783,42000,7,23739734.16
PLD3,23646,Q8IV08,P,2469,782,450,25,37058008.75
TJP2,9414,Q9UDY2,P,2471,780,580,38,17811207.15
AMBP,259,P02760,P,2472,779,47000000,1,32780939
PSME1,5720,Q06323,P,2475,776,7500,33,41929924.92
PGAM1,5223,P18669,P,2476,775,120000,33,268185526.1
NDUFAB1,4706,O14561,P,2477,774,100,11,10501765.75
PTP4A2,8073,Q12974,P,2478,773,490,33,52193266.94
CORO1C,23603,Q9ULV4,P,2479,772,13000,31,98299479.31
LRRC47,57470,Q8N1G4,P,2480,771,29,25,61826683.58
COL4A1,1282,P02462,P,2481,770,75,11,43210837.75
MTPN,136319,P58546,P,2482,769,14000,21,100369461
C9,735,P02748,P,2483,768,64000000,12,515903094.4
PPM1A,5494,P35813,P,2484,767,380,2,27408608
MESD,23184,Q14696,P,2486,765,1600,19,12795581.35
COMT,1312,P21964,P,2487,764,43,20,201827900.5
PCK2,5106,Q16822,P,2488,763,3500,22,34744584.32
TKFC,26007,Q3LXA3,P,2489,762,6800,24,34883556.31
INSR,3643,P06213,P,2490,761,190,23,15361009.31
PGK1,5230,P00558,P,2491,760,170000,49,1397710655
DUSP3,1845,P51452,P,2492,759,1300,17,37974411
MAN1A1,4121,P33908,P,2493,758,460000,10,21314279
PTPRF,5792,P10586,P,2494,757,160000,31,47472303.44
NDRG1,10397,Q92597,P,2495,756,200,33,128940049.8
TOLLIP,54472,Q9H0E2,P,2496,755,140,47,41666285.13
APOL2,23780,Q9BQE5,P,2497,754,29000,12,21470418.5
COL6A3,1293,P12111,P,2499,752,1000000,13,116302854
RPL14,9045,P50914,P,2500,751,270,34,321405604.9
DAAM1,23002,Q9Y4D1,P,2501,750,9.7,19,7275695.604
GDI1,2664,P31150,P,2502,749,31000,32,187099016.7
B2M,567,P61769,P,2503,748,2100000,27,451951791.9
ECHDC1,55862,Q9NTX5,P,2504,747,56,30,60754148
FTH1,2495,P02794,P,2505,746,5600,35,763707265
ATRN,8455,O75882,P,2507,744,27000000,29,62581121.44
UBE2N,7334,P61088,P,2509,742,1800,31,44101033.29
PIP4K2A,5305,P48426,P,2510,741,4900,27,36550588
C11orf54,28970,Q9H0W9,P,2511,740,1300,27,37861429.03
CNDP2,55748,Q96KP4,P,2512,739,2600,29,56606018.54
SMARCA2,6595,P51531,P,2513,738,19,12,45544724.09
STX7,8417,O15400,P,2514,737,380,29,39032966.25
EMILIN1,11117,Q9Y6C2,P,2515,736,4300,12,48294925.54
AGL,178,P35573,P,2516,735,450,13,72024714
LAMP2,3920,P13473,P,2517,734,520000,18,71367625.13
UBE2L3,7332,P68036,P,2518,733,5800,28,48254264.41
RPL37A,6168,P61513,P,2520,731,87,21,42989618
