EntrezID	Gene	UNIPROT	common_p	Concentration	Ayuko_Ev_q
90411	MCFD2	Q8NI22	P	1200	36055827.25
113201	GOLM2	Q6P4E1	P	1200	10270358.56
3679	ITGA7	Q13683	P	1200	11876392.5
644	BLVRA	P53004	P	1200	155116957.3
8078	USP5	P45974	P	1200	74942460.71
1892	ECHS1	P30084	P	1200	12491861.5
2946	GSTM2	P28161	P	1200	281618985
3148	HMGB2	P26583	P	1200	214490766
10857	PGRMC1	O00264	P	1200	97764417.28
55573	CDV3	Q9UKY7	P	1100	42332017.53
27430	MAT2B	Q9NZL9	P	1100	51747510.33
51571	CYRIB	Q9NUQ9	P	1100	35433510.13
83871	RAB34	Q9BZG1	P	1100	15358146
23191	CYFIP1	Q7L576	P	1100	120765490.4
23516	SLC39A14	Q15043	P	1100	76422493.25
3184	HNRNPD	Q14103	P	1100	124470496.6
7335	UBE2V1	Q13404	P	1100	62286714
444	ASPH	Q12797	P	1100	55456176.47
10694	CCT8	P50990	P	1100	261392617.3
2730	GCLM	P48507	P	1100	29754773.5
2053	EPHX2	P34913	P	1100	58438626.1
64081	PBLD	P30039	P	1100	58182024.42
5211	PFKL	P17858	P	1100	222036469.3
2035	EPB41	P11171	P	1100	43921920.8
10550	ARL6IP5	O75915	P	1100	84865836.12
7165	TPD52L2	O43399	P	1100	37982735
9352	TXNL1	O43396	P	1100	98372882.29
23140	ZZEF1	O43149	P	1100	28861311.25
55577	NAGK	Q9UJ70	P	1000	268462014.5
140735	DYNLL2	Q96FJ2	P	1000	241944574.6
3033	HADH	Q16836	P	1000	39843613.81
5464	PPA1	Q15181	P	1000	172586555.9
4179	CD46	P15529	P	1000	38389988.75
3684	ITGAM	P11215	P	1000	60537248.58
22824	HSPA4L	O95757	P	1000	47675934.05
27333	GOLIM4	O00461	P	1000	20086680.09
4738	NEDD8	Q15843	P	990	30224930.63
26229	B3GAT3	O94766	P	990	34030839
6426	SRSF1	Q07955	P	980	54193697.32
6191	RPS4X	P62701	P	980	336227785.2
3691	ITGB4	P16144	P	980	97142477.44
2064	ERBB2	P04626	P	980	139375820.6
1432	MAPK14	Q16539	P	970	45213569
5094	PCBP2	Q15366	P	970	310752074.1
5806	PTX3	P26022	P	970	50076751.13
57175	CORO1B	Q9BR76	P	960	165179487
5510	PPP1R7	Q15435	P	960	23172296.63
1307	COL16A1	Q07092	P	960	2450049.75
2766	GMPR	P36959	P	950	18671400
8574	AKR7A2	O43488	P	950	167904569.5
11253	MAN1B1	Q9UKM7	P	940	13383659.06
2783	GNB2	P62879	P	940	675924873.7
7520	XRCC5	P13010	P	940	589383372.5
9368	SLC9A3R1	O14745	P	940	42769671.81
10007	GNPDA1	P46926	P	930	19701566.05
