"UNIPROT"	"Entrez"	"symbol"	"GBM_GTEX.Y8DK.0011.R10A.SM.HAKY1"	"GBM_GTEX.UTHO.0011.R10A.SM.HAKY2"	"GBM_GTEX.R55F.0011.R10A.SM.HAKXY"	"GBM_GTEX.QVJO.0011.R10A.SM.HAKXV"	"GBM_GTEX.P44H.0011.R10A.SM.HAKXX"	"GBM_GTEX.RU72.0011.R10A.SM.HAKXS"	"GBM_GTEX.RN5K.0011.R10A.SM.HAKXU"	"GBM_GTEX.WVLH.0011.R10A.SM.HAKXZ"	"GBM_GTEX.Q2AG.0011.R10A.SM.HAKXT"	"GBM_GTEX.NPJ7.0011.R10A.SM.HAKXW"
"Q9NUQ9"	51571	"CYRIB"	0.74570790517367	0.561592316837206	0.769136418591438	0.741074163285025	0.818150233772465	0.770236485534872	0.744794224906547	0.784126096742821	0.639585117633158	0.533693681013635
"Q9NUS5"	55317	"AP5S1"	-0.672594671476555	-0.239228483531518	-0.608273326790349	-0.356479987585292	0.259199841755528	-0.519661811861754	-0.500270574237444	-0.824335367664351	-0.288196343002255	-0.298235130673462
"Q9NUT2"	11194	"ABCB8"	1.0965076536243	0.924337837971701	0.876497192444333	0.717582165395306	0.691368875885432	0.777673279190599	0.141706355504352	1.31762888484975	0.862905893297561	0.634167609519383
"Q9NUU6"	54491	"OTULINL"	-0.770957973698228	-0.350917114376768	-0.62508262266136	-0.388172897909639	-0.766621598936882	-0.716103233694281	-0.459531895272917	-1.18581247020426	-0.600558876701041	-0.756879398427977
"Q9NUU7"	55308	"DDX19A"	-0.527409734480281	-0.666527869703928	-0.83266217854716	-0.603048447469185	-0.430944677381117	-0.291906009773624	-0.651095357796986	-0.750971774831237	-0.117155166609131	-0.567796617025907
"Q9NUV9"	55303	"GIMAP4"	-0.93352605419017	-1.38220873556964	-0.388434173980859	-1.11384451733195	-0.875834498476738	-0.906570471542158	-0.464309624830147	-1.15728666050732	-1.40092123026725	-0.121409472232852
"Q9NUW8"	55775	"TDP1"	-0.53892790365784	-0.295139991321358	-0.773985719549624	-0.585095384542133	0.000708301753397499	-0.288981616969022	-1.01429852517934	-0.373360174214964	-0.400560731943737	-0.244264778581573
"Q9NUX5"	25913	"POT1"	-0.625916366380977	-0.18798012882132	-0.022212751602188	-0.253962558673483	0.170445528513017	-0.30832481446899	0.219235339568371	-0.132497522094487	NA	0.481896727589685
"Q9NUY8"	55773	"TBC1D23"	-0.123465660644134	0.188830130237292	0.14118240669157	0.094924406861274	-0.0632679392270274	0.239076035616089	0.0214310215990871	0.226305805908314	0.243290764240175	0.101297523616352
"Q9NV06"	25879	"DCAF13"	-0.862189399760722	-0.405348892563973	-0.462512670355635	-0.685968781035531	-0.783533759708618	-0.60100796204238	-0.752356495536394	-0.724763319080273	-0.830376034069894	-0.429338079404485
"Q9NV29"	55273	"TMEM100"	-1.73974792732324	-2.56239506824533	-1.82886564133149	1.72473621570764	-1.70204978412707	-1.5445024170032	-1.46220839260887	0.653381238099416	-1.11048886382877	-1.31560195805162
"Q9NV31"	55272	"IMP3"	-0.961827822360315	-0.780516084830359	-0.599255095862496	-0.322497079862598	-0.0974791995385666	-0.204637006735532	-0.397370874954148	-0.854588356469451	-0.745974044067619	-0.276485092159705
"Q9NV35"	55270	"NUDT15"	0.0785301874581339	0.512252159034456	0.0770477925441797	0.301422705955873	0.140894159476431	0.496748700299954	0.218930482486813	0.112345869783371	0.332946156418996	0.525706459032111
"Q9NV56"	55257	"MRGBP"	-0.431657906517741	-0.587048653544006	0.421334366823386	-0.852534299583367	NA	-0.929867664561765	-0.891798627789875	-0.81282286027837	-0.834358804503017	-0.901121623522678
"Q9NV58"	25897	"RNF19A"	-1.1144274879473	0.102381068826787	0.476182768673234	-0.355649652444399	0.574652821951023	NA	-0.618693317023137	-1.09044137618653	2.60577648585137	0.284407612507756
"Q9NV66"	55253	"TYW1"	-0.0663841910169455	0.293017393994857	-0.0792999690741412	-0.550320011984488	-0.18193472200284	-0.813584850463546	-0.615244295479043	-0.0683103509466219	0.078963733095258	0.487378838771053
"Q9NV70"	55763	"EXOC1"	0.184438921405615	0.293217840244677	0.225306365598792	0.124899725312419	0.269652156678884	0.358672926156906	0.152097970712198	0.456452091792068	0.526879041983791	0.254686252922084
"Q9NV79"	55251	"PCMTD2"	-0.483794012234091	-0.833453350919326	-0.554723363714184	0.0020387852912634	-0.345280133811561	-0.61095123908351	-0.714367030291703	-0.641456226248489	-0.375145993870801	-0.618023215819653
"Q9NV88"	55756	"INTS9"	-1.07079961236856	-0.620773037133149	0.0456661565269844	-0.871558261506238	-0.378186232002686	-0.640364457892261	-0.634158635646846	-0.489711797141056	-0.0247062215190745	-0.0858178627926352
"Q9NV96"	55754	"TMEM30A"	1.47305343693372	1.19489778813552	1.19392530338933	1.174170169735	1.26628538096173	1.3109656384053	1.14203342200358	1.74870861990564	1.27471179294564	1.4266412641435
"Q9NVA1"	55245	"UQCC1"	0.827965457436847	0.893191920935946	0.845864354756605	0.773653757174739	1.1325567743906	0.789952383847647	1.11350121035064	1.28515151041313	0.747797644865315	1.04992349616644
"Q9NVA2"	55752	"SEPTIN11"	0.98505628954954	0.874211052372275	0.794453682442715	0.889839818668213	0.6402051102454	0.834757317229605	0.891276857002114	1.25603819889586	1.18187979832418	0.853446118528612
"Q9NVA4"	55751	"TMEM184C"	-0.865256055892856	-0.997948899047186	-0.609059718509396	-1.12009038047572	0.542130199594634	-0.6307571982555	-1.4315316741328	-0.65490338325106	-1.06174192842241	-0.93447611162852
"Q9NVC6"	9440	"MED17"	-0.809131113416977	-0.638589210181624	0.0210216655034531	-0.50798252023717	-0.834542543976916	-0.263489228028412	-0.343125989759405	-0.675090562372103	-0.501990496509903	-0.334348866614172
"Q9NVD7"	55742	"PARVA"	-0.473400346796482	-0.756747091784304	-0.6652234902431	-0.377921095911358	-0.800485102187811	-0.227999950793705	-0.47631759282821	-0.698336168246633	-0.490030432009986	-0.384459416431195
