EntrezID,Gene,3250_overlap,protein_rank_3250,Core GESP Score ,Final GESP Score ,number of EXPERIMENT,Median
3383,ICAM1,P,1573,13,21.5,33,97475995.79
682,BSG,P,1678,13,21.5,38,147908728.8
50848,F11R,P,1856,13,21.5,33,55933855.92
23266,ADGRL2,NA,NA,13,21,14,NA
3480,IGF1R,NA,NA,13,20.5,14,NA
1969,EPHA2,NA,NA,13,20.5,38,77207136.25
3643,INSR,P,2490,13,20.5,23,15361009.31
10507,SEMA4D,NA,NA,13,20.5,18,NA
684,BST2,P,2636,13,20.5,10,77347628
80727,TTYH3,NA,NA,13,20.5,34,35857903.54
961,CD47,P,2752,13,20.5,25,213233772.9
6272,SORT1,P,1776,13,20.5,16,65926558.64
4363,ABCC1,P,1368,13,19.5,33,28885993.74
25800,SLC39A6,NA,NA,13,19.5,21,24003831.44
7070,THY1,NA,NA,13,19.5,19,NA
5167,ENPP1,NA,NA,13,19.5,16,36380744
1948,EFNB2,NA,NA,13,19.5,16,NA
65010,SLC26A6,NA,NA,13,19.5,13,NA
11120,BTN2A1,NA,NA,13,19.5,19,12251645.55
2260,FGFR1,NA,NA,13,19,2,NA
9620,CELSR1,NA,NA,13,19,13,25524453
6091,ROBO1,NA,NA,13,19,11,NA
5159,PDGFRB,P,1364,13,18.5,9,152584224.6
952,CD38,P,3164,13,18.5,9,29666369.57
1004,CDH6,NA,NA,13,18.5,14,36549879.5
3676,ITGA4,P,715,13,18.5,11,20262082.25
1438,CSF2RA,NA,NA,13,18.5,20,NA
1464,CSPG4,P,1432,13,18.5,23,49491104.25
23545,ATP6V0A2,P,416,13,18.5,13,9153926.688
6786,STIM1,P,2353,13,18.5,9,11313973.31
3903,LAIR1,NA,NA,13,18.5,13,NA
51393,TRPV2,NA,NA,13,18.5,16,10076389.44
131566,DCBLD2,NA,NA,13,18.5,25,25937958.69
56241,SUSD2,P,3016,13,18.5,18,94278175.88
5797,PTPRM,NA,NA,13,18.5,17,NA
23308,ICOSLG,NA,NA,13,18.5,NA,84260184.5
154,ADRB2,NA,NA,13,18,19,NA
5364,PLXNB1,NA,NA,13,18,19,28413545.66
9052,GPRC5A,NA,NA,13,18,38,112526360
5099,PCDH7,NA,NA,13,18,NA,NA
8611,PPAP2A,NA,NA,13,18,14,34470676.38
29126,CD274,NA,NA,13,17.5,16,4477421.121
6573,SLC19A1,NA,NA,13,17.5,21,NA
7412,VCAM1,P,2081,13,17.5,16,34259858
1012,CDH13,P,923,13,17.5,7,18939027.25
5027,P2RX7,NA,NA,13,17.5,11,NA
962,CD48,NA,NA,13,17.5,NA,36995288.5
659,BMPR2,NA,NA,13,17.5,4,NA
5818,PVRL1,NA,NA,13,17.5,12,13736901.5
57502,NLGN4X,NA,NA,13,17.5,9,NA
185,AGTR1,NA,NA,13,17,NA,NA
134,ADORA1,NA,NA,13,17,NA,NA
57007,ACKR3,NA,NA,13,17,15,NA
10203,CALCRL,NA,NA,13,17,NA,NA
974,CD79B,NA,NA,13,16.5,NA,NA
7099,TLR4,NA,NA,13,16.5,NA,NA
4915,NTRK2,NA,NA,13,16.5,NA,101375835.6
1001,CDH3,NA,NA,13,16.5,26,14149453.91
4914,NTRK1,NA,NA,13,16.5,NA,NA
2348,FOLR1,NA,NA,13,16.5,13,210719192.4
10461,MERTK,NA,NA,13,16.5,16,13567907.25
27242,TNFRSF21,NA,NA,13,16.5,15,4448988.551
2047,EPHB1,NA,NA,13,16.5,33,NA
9445,ITM2B,P,1525,13,16.5,20,25340896.18
3455,IFNAR2,NA,NA,13,16.5,NA,NA
10384,BTN3A3,NA,NA,13,16.5,NA,364880401.6
5156,PDGFRA,NA,NA,13,15.5,12,354812936
3977,LIFR,NA,NA,13,15.5,1,NA
80328,ULBP2,NA,NA,13,15.5,13,3201092.563
7096,TLR1,NA,NA,13,15.5,NA,NA
1015,CDH17,NA,NA,13,15.5,19,81685257.71
3696,ITGB8,NA,NA,13,15.5,19,113200066
57211,ADGRG6,NA,NA,13,15.5,14,12828848.63
84168,ANTXR1,P,894,13,15.5,19,15933995.34
6443,SGCB,NA,NA,13,15.5,9,NA
23166,STAB1,NA,NA,13,15.5,NA,34756588.5
2321,FLT1,NA,NA,13,15,9,386783148
7253,TSHR,NA,NA,13,15,2,NA
8639,AOC3,NA,NA,13,15,NA,182352963.4
912,CD1D,NA,NA,13,14.5,NA,NA
1800,DPEP1,NA,NA,13,14.5,32,138166376
482,ATP1B2,NA,NA,13,14.5,1,NA
11149,BVES,NA,NA,13,14.5,NA,NA
23385,NCSTN,P,309,12,21.5,24,16418164.5
214,ALCAM,P,3086,12,20.5,28,22384525.25
1889,ECE1,P,2526,12,20.5,18,31955818.38
9019,MPZL1,P,1743,12,20.5,26,62402986
9497,SLC4A7,NA,NA,12,20.5,19,NA
1605,DAG1,P,2822,12,20.5,23,17317690.17
3556,IL1RAP,NA,NA,12,20,23,19575464
23654,PLXNB2,P,1453,12,20,32,54281954.25
8140,SLC7A5,NA,NA,12,19.5,34,69563975
3675,ITGA3,P,3162,12,19.5,41,202658035.2
4035,LRP1,P,644,12,19.5,31,104062825
481,ATP1B1,P,2530,12,19.5,38,142391015.5
57181,SLC39A10,NA,NA,12,19.5,19,17157417.88
5795,PTPRJ,P,523,12,19.5,26,32103096.54
27020,NPTN,NA,NA,12,19.5,30,NA
8482,SEMA7A,NA,NA,12,19,1,32995519.34
2048,EPHB2,NA,NA,12,18.5,32,70119380.75
4853,NOTCH2,NA,NA,12,18.5,31,26032633.75
8829,NRP1,P,521,12,18.5,29,43158230.28
1803,DPP4,NA,NA,12,18.5,30,41482563
5311,PKD2,NA,NA,12,18.5,NA,NA
8828,NRP2,P,1345,12,18.5,13,46261033.42
83700,JAM3,NA,NA,12,18.5,13,7749799.531
5175,PECAM1,P,802,12,18.5,10,36695303.69
5361,PLXNA1,NA,NA,12,18.5,29,21808595.15
10326,SIRPB1,NA,NA,12,18.5,NA,48383398.5
57153,SLC44A2,P,3062,12,18.5,30,38830195.78
5788,PTPRC,P,2410,12,18,16,80901489.25
1901,S1PR1,NA,NA,12,18,12,NA
6915,TBXA2R,NA,NA,12,18,NA,NA
9289,ADGRG1,NA,NA,12,18,23,10364539.51
4311,MME,NA,NA,12,17.5,21,58852454.69
7097,TLR2,NA,NA,12,17.5,13,7082860.25
4921,DDR2,NA,NA,12,17.5,15,46759572
6653,SORL1,P,1773,12,17.5,20,16794408.5
1525,CXADR,NA,NA,12,17.5,27,33341416.54
3683,ITGAL,P,2159,12,17.5,8,40279267
1536,CYBB,P,1580,12,17.5,5,59142230.38
55243,KIRREL,NA,NA,12,17.5,30,17033067.69
2030,SLC29A1,NA,NA,12,17.5,28,29137464.22
3679,ITGA7,P,3069,12,17.5,14,11876392.5
23765,IL17RA,NA,NA,12,17.5,13,NA
23129,PLXND1,P,459,12,17.5,22,27322870.5
8322,FZD4,NA,NA,12,17,NA,NA
2687,GGT5,P,1788,12,17,10,61881741.84
2195,FAT1,P,422,12,16.5,26,35410500.67
948,CD36,NA,NA,12,16.5,10,NA
6402,SELL,NA,NA,12,16.5,NA,NA
1636,ACE,NA,NA,12,16.5,25,NA
3757,KCNH2,NA,NA,12,16.5,NA,NA
3684,ITGAM,P,2386,12,16.5,16,60537248.58
943,TNFRSF8,NA,NA,12,16.5,NA,NA
7225,TRPC6,NA,NA,12,16.5,2,NA
4360,MRC1,NA,NA,12,16.5,NA,90222777.25
79689,STEAP4,NA,NA,12,16.5,19,NA
4897,NRCAM,NA,NA,12,16.5,2,NA
286530,P2RY8,NA,NA,12,16.5,7,NA
4045,LSAMP,NA,NA,12,16.5,12,37791647.75
23114,NFASC,NA,NA,12,16.5,NA,NA
3454,IFNAR1,NA,NA,12,16.5,NA,NA
3177,SLC29A2,NA,NA,12,16.5,11,NA
7106,TSPAN4,NA,NA,12,16.5,31,NA
4064,CD180,NA,NA,12,16.5,NA,19214107.47
5025,P2RX4,NA,NA,12,16.5,NA,NA
25945,PVRL3,NA,NA,12,16.5,18,NA
2150,F2RL1,NA,NA,12,16,11,NA
3561,IL2RG,NA,NA,12,15.5,NA,NA
945,CD33,NA,NA,12,15.5,15,NA
51744,CD244,NA,NA,12,15.5,NA,NA
939,CD27,NA,NA,12,15.5,NA,NA
1824,DSC2,P,2439,12,15.5,23,49801852.38
4070,TACSTD2,NA,NA,12,15.5,29,135307550.6
634,CEACAM1,NA,NA,12,15.5,24,86986975.5
8764,TNFRSF14,NA,NA,12,15.5,NA,NA
4920,ROR2,NA,NA,12,15.5,18,29082250.25
931,MS4A1,NA,NA,12,15.5,NA,NA
3694,ITGB6,NA,NA,12,15.5,19,NA
114836,SLAMF6,NA,NA,12,15.5,NA,NA
4063,LY9,NA,NA,12,15.5,NA,NA
131450,CD200R1,NA,NA,12,15.5,NA,NA
28231,SLCO4A1,NA,NA,12,15.5,16,NA
3695,ITGB7,NA,NA,12,15.5,13,NA
91584,PLXNA4,NA,NA,12,15.5,6,35955411.62
89790,SIGLEC10,NA,NA,12,15.5,NA,NA
25921,ZDHHC5,P,603,12,15.5,23,16927575.88
56928,SPPL2B,NA,NA,12,15.5,NA,NA
2191,FAP,NA,NA,12,15,12,NA
116535,MRGPRF,NA,NA,12,15,8,NA
2891,GRIA2,NA,NA,12,15,NA,NA
55558,PLXNA3,NA,NA,12,15,7,26158436.75
80031,SEMA6D,NA,NA,12,15,NA,10829469.47
2676,GFRA3,NA,NA,12,15,NA,NA
3791,KDR,NA,NA,12,14.5,9,409655336
911,CD1C,NA,NA,12,14.5,13,NA
8038,ADAM12,NA,NA,12,14.5,17,NA
968,CD68,NA,NA,12,14.5,NA,NA
6403,SELP,NA,NA,12,14.5,9,NA
3953,LEPR,NA,NA,12,14.5,NA,NA
92737,DNER,NA,NA,12,14.5,18,NA
7850,IL1R2,NA,NA,12,14.5,NA,NA
3560,IL2RB,NA,NA,12,14.5,NA,NA
333,APLP1,NA,NA,12,14.5,NA,NA
1003,CDH5,NA,NA,12,14.5,3,NA
4254,KITLG,NA,NA,12,14.5,NA,NA
1436,CSF1R,NA,NA,12,14.5,NA,40109113.25
3680,ITGA9,NA,NA,12,14.5,15,49786971.41
27253,PCDH17,NA,NA,12,14.5,NA,NA
8641,PCDHGB4,NA,NA,12,14.5,NA,NA
2846,LPAR4,NA,NA,12,14,NA,NA
250,ALPP,NA,NA,12,13.5,22,18475151.46
6517,SLC2A4,NA,NA,12,13.5,NA,NA
2214,FCGR3A,NA,NA,12,13.5,NA,NA
4585,MUC4,NA,NA,12,13.5,18,NA
910,CD1B,NA,NA,12,13.5,15,NA
93,ACVR2B,NA,NA,12,13.5,NA,NA
2028,ENPEP,NA,NA,12,13.5,8,22533448.17
4036,LRP2,NA,NA,12,13.5,10,77942778
23601,CLEC5A,NA,NA,12,13.5,NA,NA
353189,SLCO4C1,NA,NA,12,13.5,6,NA
25849,PARM1,NA,NA,12,13.5,NA,NA
114815,SORCS1,NA,NA,12,13.5,NA,NA
389816,LRRC26,NA,NA,12,13.5,NA,NA
150696,PROM2,NA,NA,12,13.5,23,23880621.36
56097,PCDHGC5,NA,NA,12,13.5,NA,NA
26025,PCDHGA12,NA,NA,12,13.5,NA,NA
56099,PCDHGB7,NA,NA,12,13.5,NA,NA
56101,PCDHGB5,NA,NA,12,13.5,NA,11932901.5
3811,KIR3DL1,NA,NA,12,13.5,NA,NA
56104,PCDHGB1,NA,NA,12,13.5,NA,NA
56107,PCDHGA9,NA,NA,12,13.5,NA,NA
9708,PCDHGA8,NA,NA,12,13.5,NA,NA
5621,PRNP,NA,NA,11,20.5,23,NA
3685,ITGAV,P,1564,11,19.5,35,87549600.23
4012,LNPEP,P,2086,11,19.5,26,21478262.88
6856,SYPL1,P,2601,11,19.5,26,40764836.13
3949,LDLR,NA,NA,11,19,25,59931882
4851,NOTCH1,NA,NA,11,19,36,10862818.56
3105,HLA-A,P,3163,11,18.5,65,183161992.2
6541,SLC7A1,NA,NA,11,18.5,25,15076480.95
949,SCARB1,NA,NA,11,18.5,39,42222498.05
2022,ENG,P,969,11,18.5,15,40168135.88
966,CD59,NA,NA,11,18.5,33,NA
3673,ITGA2,P,1478,11,18.5,34,117643467.3
3655,ITGA6,P,1920,11,18.5,38,81171430.94
3672,ITGA1,P,2734,11,18.5,34,67810295.02
7162,TPBG,NA,NA,11,18.5,21,24302086.08
26504,CNNM4,P,1098,11,18.5,17,35579483.78
55754,TMEM30A,P,1947,11,18.5,25,18903069.5
970,CD70,NA,NA,11,17.5,13,126644215
5329,PLAUR,NA,NA,11,17.5,22,32302108.75
3107,HLA-C,P,2958,11,17.5,49,229179153.4
80381,CD276,P,494,11,17.5,27,51859434.25
334,APLP2,P,2239,11,17.5,24,38668443.46
6558,SLC12A2,P,2689,11,17.5,30,31796826.25
2049,EPHB3,NA,NA,11,17.5,31,60530137.03
79651,RHBDF2,P,80,11,17.5,25,42381846.5
140885,SIRPA,NA,NA,11,17.5,16,68025756.33
221061,FAM171A1,NA,NA,11,17.5,22,7873417.688
57493,HEG1,NA,NA,11,17.5,12,10517193.01
8455,ATRN,P,2507,11,17.5,29,62581121.44
2149,F2R,NA,NA,11,17,7,18386732.95
30817,ADGRE2,NA,NA,11,17,23,11193933.34
182,JAG1,NA,NA,11,16.5,21,22529412.17
3384,ICAM2,NA,NA,11,16.5,14,NA
2678,GGT1,NA,NA,11,16.5,24,59484245.73
2050,EPHB4,P,1252,11,16.5,33,60608271.02
133418,EMB,NA,NA,11,16.5,15,25062293.02
375790,AGRN,P,2781,11,16.5,41,54053863.16
109,ADCY3,NA,NA,11,16.5,11,NA
115,ADCY9,NA,NA,11,16.5,12,11162223.72
10154,PLXNC1,NA,NA,11,16.5,20,23029277.13
23555,TSPAN15,NA,NA,11,16.5,31,NA
768211,RELL1,NA,NA,11,16.5,10,24645804.38
972,CD74,P,2889,11,16,8,52562214.63
2535,FZD2,NA,NA,11,16,20,10258735.27
4986,OPRK1,NA,NA,11,16,NA,NA
3577,CXCR1,NA,NA,11,16,NA,NA
187,APLNR,NA,NA,11,16,NA,NA
5243,ABCB1,NA,NA,11,15.5,18,57372411.29
1439,CSF2RB,NA,NA,11,15.5,NA,NA
8434,RECK,NA,NA,11,15.5,17,16789400.41
942,CD86,NA,NA,11,15.5,NA,NA
967,CD63,NA,NA,11,15.5,65,NA
1435,CSF1,NA,NA,11,15.5,11,NA
23767,FLRT3,NA,NA,11,15.5,12,45472595.63
3732,CD82,NA,NA,11,15.5,42,26806092.37
10347,ABCA7,NA,NA,11,15.5,NA,NA
22801,ITGA11,NA,NA,11,15.5,14,36804419.25
160364,CLEC12A,NA,NA,11,15.5,11,65435885.25
169714,QSOX2,NA,NA,11,15.5,15,17173155.5
2044,EPHA5,NA,NA,11,15.5,15,NA
8613,PPAP2B,NA,NA,11,15.5,16,NA
57451,TENM2,NA,NA,11,15.5,7,NA
51232,CRIM1,NA,NA,11,15.5,17,61200371.75
4891,SLC11A2,NA,NA,11,15.5,11,NA
930,CD19,NA,NA,11,15,NA,NA
3357,HTR2B,NA,NA,11,15,NA,NA
186,AGTR2,NA,NA,11,15,NA,NA
2322,FLT3,NA,NA,11,14.5,NA,NA
973,CD79A,NA,NA,11,14.5,NA,NA
1009,CDH11,NA,NA,11,14.5,NA,31021623.83
947,CD34,NA,NA,11,14.5,NA,31032333.35
4486,MST1R,NA,NA,11,14.5,23,32607703.63
4481,MSR1,NA,NA,11,14.5,NA,87744389
8842,PROM1,NA,NA,11,14.5,32,53184205.46
1380,CR2,NA,NA,11,14.5,NA,NA
8718,TNFRSF25,NA,NA,11,14.5,NA,NA
2212,FCGR2A,NA,NA,11,14.5,9,25313027.04
923,CD6,NA,NA,11,14.5,9,988640.3242
6526,SLC5A3,NA,NA,11,14.5,NA,28337755.64
375033,PEAR1,NA,NA,11,14.5,NA,NA
57555,NLGN2,NA,NA,11,14.5,NA,NA
23731,TMEM245,NA,NA,11,14.5,12,NA
963,CD53,NA,NA,11,14.5,8,117464604
58986,TMEM8A,NA,NA,11,14.5,12,NA
90952,ESAM,NA,NA,11,14.5,10,11196246.5
28232,SLCO3A1,NA,NA,11,14.5,15,NA
79932,KIAA0319L,NA,NA,11,14.5,19,NA
2263,FGFR2,NA,NA,11,14,1,NA
1236,CCR7,NA,NA,11,14,NA,NA
2833,CXCR3,NA,NA,11,14,NA,NA
1233,CCR4,NA,NA,11,14,NA,NA
929,CD14,P,1706,11,14,10,27367066.91
1241,LTB4R,NA,NA,11,14,NA,NA
643,CXCR5,NA,NA,11,14,NA,NA
50937,CDON,NA,NA,11,14,NA,NA
64123,ADGRL4,NA,NA,11,14,NA,NA
9002,F2RL3,NA,NA,11,14,NA,NA
23768,FLRT2,NA,NA,11,14,NA,NA
2261,FGFR3,NA,NA,11,13.5,NA,NA
915,CD3D,NA,NA,11,13.5,11,NA
941,CD80,NA,NA,11,13.5,NA,NA
3559,IL2RA,NA,NA,11,13.5,NA,NA
8792,TNFRSF11A,NA,NA,11,13.5,NA,NA
5803,PTPRZ1,NA,NA,11,13.5,14,NA
608,TNFRSF17,NA,NA,11,13.5,12,NA
7049,TGFBR3,NA,NA,11,13.5,16,36368948.41
2042,EPHA3,NA,NA,11,13.5,18,33677146.09
29967,LRP12,NA,NA,11,13.5,NA,NA
10752,CHL1,NA,NA,11,13.5,NA,NA
2041,EPHA1,NA,NA,11,13.5,6,65848783.75
6542,SLC7A2,NA,NA,11,13.5,21,29714371
3598,IL13RA2,NA,NA,11,13.5,9,NA
3587,IL10RA,NA,NA,11,13.5,NA,NA
10505,SEMA4F,NA,NA,11,13.5,NA,NA
221981,THSD7A,NA,NA,11,13.5,NA,NA
28513,CDH19,NA,NA,11,13.5,NA,NA
347902,AMIGO2,NA,NA,11,13.5,6,4224379.699
8642,DCHS1,NA,NA,11,13.5,NA,8026559.188
6444,SGCD,P,3079,11,13.5,4,47969305.66
6404,SELPLG,NA,NA,11,13.5,18,NA
29992,PILRA,NA,NA,11,13.5,NA,NA
139065,SLITRK4,NA,NA,11,13.5,17,NA
4680,CEACAM6,NA,NA,11,13,17,101729969
1048,CEACAM5,NA,NA,11,13,24,60652048.13
2674,GFRA1,NA,NA,11,13,11,161522800.6
221395,ADGRF5,NA,NA,11,13,3,56600431.29
3363,HTR7,NA,NA,11,13,NA,NA
80144,FRAS1,NA,NA,11,13,14,106891714.9
57715,SEMA4G,NA,NA,11,13,NA,NA
2264,FGFR4,NA,NA,11,12.5,NA,197888216.5
1136,CHRNA3,NA,NA,11,12.5,NA,NA
921,CD5,NA,NA,11,12.5,11,9131272.792
92359,CRB3,NA,NA,11,12.5,19,NA
940,CD28,NA,NA,11,12.5,14,NA
7301,TYRO3,NA,NA,11,12.5,14,NA
917,CD3G,NA,NA,11,12.5,NA,NA
6523,SLC5A1,NA,NA,11,12.5,15,25169319.94
222962,SLC29A4,NA,NA,11,12.5,NA,NA
90249,UNC5A,NA,NA,11,12.5,10,NA
57863,CADM3,NA,NA,11,12.5,NA,NA
65078,RTN4R,NA,NA,11,12.5,NA,NA
341640,FREM2,NA,NA,11,12.5,9,2242460.938
10268,RAMP3,NA,NA,11,12.5,NA,NA
9962,SLC23A2,NA,NA,11,12.5,13,NA
10501,SEMA6B,NA,NA,11,12.5,NA,NA
1013,CDH15,NA,NA,11,12.5,NA,17508908.5
2899,GRIK3,NA,NA,11,12.5,11,NA
389015,SLC9A4,NA,NA,11,12.5,NA,NA
80739,C6orf25,NA,NA,11,12.5,NA,NA
60482,SLC5A7,NA,NA,11,12.5,NA,NA
56138,PCDHA11,NA,NA,11,12.5,NA,NA
41,ASIC1,NA,NA,11,12,NA,NA
975,CD81,P,2805,10,21.5,57,670171542.6
490,ATP2B1,P,2611,10,21,31,42651027.73
476,ATP1A1,P,1712,10,18.5,42,478153399.7
6566,SLC16A1,P,2266,10,18.5,35,124891941.8
10544,PROCR,P,2163,10,18.5,15,4100607
57142,RTN4,P,2845,10,18.5,29,102769196.6
3678,ITGA5,P,2126,10,18.5,24,35902906.33
3916,LAMP1,P,2632,10,18.5,34,174016804.7
4179,CD46,P,2156,10,18,44,38389988.75
3106,HLA-B,P,3178,10,18,32,218556494.3
7852,CXCR4,NA,NA,10,17.5,17,18316176.69
5754,PTK7,P,1033,10,17.5,34,59135536.25
1317,SLC31A1,NA,NA,10,17.5,14,87521908.5
5793,PTPRG,P,942,10,17.5,22,31547124
5663,PSEN1,P,497,10,17.5,27,4100688.125
5792,PTPRF,P,2494,10,17.5,31,47472303.44
5738,PTGFRN,P,2527,10,17.5,44,177330425.5
6509,SLC1A4,NA,NA,10,17.5,37,36344573
93185,IGSF8,P,2800,10,17.5,38,45796551.5
558,AXL,NA,NA,10,16.5,17,NA
965,CD58,P,1020,10,16.5,22,16078966.5
4059,BCAM,P,3166,10,16.5,25,48846403.75
54910,SEMA4C,NA,NA,10,16.5,17,22050036.19
81619,TSPAN14,NA,NA,10,16.5,29,55163440.13
7057,THBS1,P,2222,10,16,40,418185064.3
1234,CCR5,NA,NA,10,16,NA,NA
3123,HLA-DRB1,P,3206,10,16,47,161518554.7
6608,SMO,NA,NA,10,16,NA,NA
4241,MFI2,NA,NA,10,16,39,27308313.56
5724,PTAFR,NA,NA,10,16,NA,NA
953,ENTPD1,P,2131,10,16,13,63020280.45
9429,ABCG2,NA,NA,10,15.5,25,17648656.9
6768,ST14,NA,NA,10,15.5,23,37190006.13
958,CD40,NA,NA,10,15.5,18,NA
3077,HFE,NA,NA,10,15.5,16,NA
4345,CD200,NA,NA,10,15.5,3,NA
7087,ICAM5,NA,NA,10,15.5,12,NA
6385,SDC4,P,2982,10,15.5,30,41527212.91
11119,BTN3A1,NA,NA,10,15.5,NA,NA
9780,PIEZO1,NA,NA,10,15.5,14,NA
6518,SLC2A5,NA,NA,10,15.5,11,NA
3134,HLA-F,NA,NA,10,15.5,20,NA
535,ATP6V0A1,P,1745,10,15.5,20,18346654.48
3117,HLA-DQA1,NA,NA,10,15,NA,33981073.81
8323,FZD6,NA,NA,10,15,1,16204483.09
1362,CPD,P,1182,10,15,26,17453514.5
8324,FZD7,NA,NA,10,15,21,10984538.3
4886,NPY1R,NA,NA,10,15,16,NA
81539,SLC38A1,NA,NA,10,15,25,43112201.62
683,BST1,NA,NA,10,15,11,65744011.45
80380,PDCD1LG2,NA,NA,10,14.5,NA,NA
2697,GJA1,NA,NA,10,14.5,23,42836981.75
3566,IL4R,NA,NA,10,14.5,3,NA
5727,PTCH1,NA,NA,10,14.5,8,NA
4919,ROR1,NA,NA,10,14.5,17,NA
2995,GYPC,NA,NA,10,14.5,5,31910212.56
362,AQP5,NA,NA,10,14.5,2,160352932.5
7103,TSPAN8,NA,NA,10,14.5,22,132512360.6
2213,FCGR2B,NA,NA,10,14.5,NA,17512697.75
10859,LILRB1,NA,NA,10,14.5,NA,NA
5362,PLXNA2,NA,NA,10,14.5,12,38165691.35
3385,ICAM3,P,2356,10,14.5,7,18955253.34
1836,SLC26A2,NA,NA,10,14.5,6,11390761.23
2217,FCGRT,P,1502,10,14.5,2,30437932.06
3459,IFNGR1,NA,NA,10,14.5,14,NA
951,CD37,NA,NA,10,14.5,13,NA
27036,SIGLEC7,NA,NA,10,14.5,NA,NA
50512,PODXL2,NA,NA,10,14.5,10,NA
3588,IL10RB,NA,NA,10,14.5,12,NA
284021,MILR1,NA,NA,10,14.5,NA,NA
50863,NTM,NA,NA,10,14,NA,6167473.063
10800,CYSLTR1,NA,NA,10,14,NA,NA
11251,PTGDR2,NA,NA,10,14,11,NA
2911,GRM1,NA,NA,10,14,NA,NA
27334,P2RY10,NA,NA,10,14,NA,NA
5032,P2RY11,NA,NA,10,14,NA,NA
55362,TMEM63B,NA,NA,10,14,9,NA
1080,CFTR,NA,NA,10,13.5,NA,50458429.33
914,CD2,NA,NA,10,13.5,NA,6250072
94025,MUC16,NA,NA,10,13.5,17,135733179
7046,TGFBR1,NA,NA,10,13.5,18,NA
5169,ENPP3,NA,NA,10,13.5,19,50122684.08
6376,CX3CL1,NA,NA,10,13.5,NA,NA
933,CD22,NA,NA,10,13.5,3,NA
4883,NPR3,NA,NA,10,13.5,10,64315362.5
